observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T11:22:50.734844Z,2025-05-21T11:22:50.838638Z,103.794 ms,103.794 ms,103.794 ms,103.794 ms,1
2025-05-21T11:22:55.695520Z,2025-05-21T11:22:55.721867Z,26.346999999999998 ms,65.07050000000001 ms,26.346999999999998 ms,103.794 ms,2
2025-05-21T11:23:00.699541Z,2025-05-21T11:23:00.719239Z,19.698 ms,49.946333333333335 ms,19.698 ms,103.794 ms,3
2025-05-21T11:23:05.699332Z,2025-05-21T11:23:05.728823Z,29.491 ms,44.832499999999996 ms,19.698 ms,103.794 ms,4
2025-05-21T11:23:10.694137Z,2025-05-21T11:23:10.713416Z,19.279 ms,39.721799999999995 ms,19.279 ms,103.794 ms,5
