current_time,start_time,throughput_records,throughput_bytes,throughput_interval
2025-01-11 23:04:31.124649+00:00,2025-01-11 23:04:32.126686+00:00,92.81065002998152,4613338.9810402915,1.0020401750225574
2025-01-11 23:04:32.126686+00:00,2025-01-11 23:04:33.128080+00:00,100.85944993603273,5013420.677970379,1.0013935239985585
2025-01-11 23:04:33.128080+00:00,2025-01-11 23:04:34.128386+00:00,101.96882710872643,5068564.489093465,1.0003057100111619
2025-01-11 23:04:34.128386+00:00,2025-01-11 23:04:35.130654+00:00,98.7759486961921,4909856.081841621,1.0022682779235765
2025-01-11 23:04:35.130654+00:00,2025-01-11 23:04:36.138564+00:00,102.19154804901684,5079635.27887248,1.0079111430095509
2025-01-11 23:04:36.138564+00:00,2025-01-11 23:04:37.146188+00:00,101.22825009620136,5031752.627531881,1.0076238589826971
2025-01-11 23:04:37.146188+00:00,2025-01-11 23:04:38.147776+00:00,101.83822233817767,5062072.517763797,1.0015885750763118
2025-01-11 23:04:38.147776+00:00,2025-01-11 23:04:39.154093+00:00,103.3472281179573,5137080.668059303,1.0063162979204208
2025-01-11 23:04:39.154093+00:00,2025-01-11 23:04:40.157350+00:00,103.66227990018561,5152740.946998526,1.0032578880200163
2025-01-11 23:04:40.157350+00:00,2025-01-11 23:04:41.165642+00:00,104.1365352567892,5176314.7580092205,1.0082916599931195
2025-01-11 23:04:41.165642+00:00,2025-01-11 23:04:42.167204+00:00,109.8284196731963,5459241.256695568,1.001562257995829
2025-01-11 23:04:42.167204+00:00,2025-01-11 23:04:43.174556+00:00,110.18989151319195,5477208.937446232,1.007351931068115
2025-01-11 23:04:43.174556+00:00,2025-01-11 23:04:44.182961+00:00,110.07486719656607,5471491.42373971,1.0084045779658481
2025-01-11 23:04:44.182961+00:00,2025-01-11 23:04:45.189581+00:00,110.27002127822726,5481191.947676842,1.0066199200227857
2025-01-11 23:04:45.189581+00:00,2025-01-11 23:04:46.195497+00:00,107.36494152185091,5336789.148226643,1.0059149520238861
2025-01-11 23:04:46.195497+00:00,2025-01-11 23:04:47.197892+00:00,108.73946796029591,5405112.733902429,1.0023959289537743
2025-01-11 23:04:47.197892+00:00,2025-01-11 23:04:48.203574+00:00,111.36714417598297,5535726.635555586,1.0056826079962775
2025-01-11 23:04:48.203574+00:00,2025-01-11 23:04:49.208449+00:00,109.46637572206339,5441245.138016605,1.0048747779801488
2025-01-11 23:04:49.208449+00:00,2025-01-11 23:04:50.213601+00:00,111.42589323583508,5538646.875073655,1.0051523640286177
2025-01-11 23:04:50.213601+00:00,2025-01-11 23:04:51.217575+00:00,108.56862169322761,5396620.478505265,1.0039733239682391
2025-01-11 23:04:51.217575+00:00,2025-01-11 23:04:52.220507+00:00,110.67540442473182,5501342.327740145,1.002932860981673
2025-01-11 23:04:52.220507+00:00,2025-01-11 23:04:53.220552+00:00,110.99509046498893,5517232.961743205,1.0000442320015281
2025-01-11 23:04:53.220552+00:00,2025-01-11 23:04:54.223272+00:00,111.69619973114818,5552083.000036183,1.0027198800817132
2025-01-11 23:04:54.223272+00:00,2025-01-11 23:04:55.227410+00:00,110.54262392717065,5494742.207547871,1.0041375539731234
2025-01-11 23:04:55.227410+00:00,2025-01-11 23:04:56.229862+00:00,110.72839674625962,5503976.417066326,1.0024528780486435
2025-01-11 23:04:56.229862+00:00,2025-01-11 23:04:57.230430+00:00,107.9388046402747,5365314.162254134,1.0005669449456036
2025-01-11 23:04:57.230430+00:00,2025-01-11 23:04:58.234838+00:00,106.53025187277986,5295299.229840268,1.004409527988173
2025-01-11 23:04:58.234838+00:00,2025-01-11 23:04:59.238614+00:00,111.57870613573033,5546242.745888747,1.0037757550599054
2025-01-11 23:04:59.238614+00:00,2025-01-11 23:05:00.241654+00:00,111.6605660631535,5550311.75730117,1.0030398729722947
2025-01-11 23:05:00.241654+00:00,2025-01-11 23:05:01.243043+00:00,110.84614755010746,5509829.456273192,1.0013879819307476
2025-01-11 23:05:01.243043+00:00,2025-01-11 23:05:02.244232+00:00,110.86807352543931,5510919.330729012,1.0011899410746992
2025-01-11 23:05:02.244232+00:00,2025-01-11 23:05:03.244704+00:00,111.94717481461834,5564558.218510234,1.0004718760028481
2025-01-11 23:05:03.244704+00:00,2025-01-11 23:05:04.253809+00:00,110.98957917472788,5516959.012038198,1.009103744989261
2025-01-11 23:05:04.253809+00:00,2025-01-11 23:05:05.260954+00:00,111.20524921947802,5527679.322952594,1.007146702031605
2025-01-11 23:05:05.260954+00:00,2025-01-11 23:05:06.269485+00:00,111.05261734833604,5520092.45053374,1.0085309349233285
2025-01-11 23:05:06.269485+00:00,2025-01-11 23:05:07.272694+00:00,111.64176936366808,5549377.429759849,1.0032087509753183
2025-01-11 23:05:07.272694+00:00,2025-01-11 23:05:08.280488+00:00,110.14168227314477,5474812.600751207,1.007792851072736
2025-01-11 23:05:08.280488+00:00,2025-01-11 23:05:09.285841+00:00,107.42485890844738,5339767.461762194,1.0053538919892162
2025-01-11 23:05:09.285841+00:00,2025-01-11 23:05:10.290750+00:00,111.45287837682541,5539988.225476861,1.0049089950043708
2025-01-11 23:05:10.290750+00:00,2025-01-11 23:05:11.297160+00:00,111.28663696454667,5531724.863596722,1.0064101410098374
2025-01-11 23:05:11.297160+00:00,2025-01-11 23:05:12.303227+00:00,111.32460851914671,5533612.3156612255,1.006066865986213
2025-01-11 23:05:12.303227+00:00,2025-01-11 23:05:13.308936+00:00,111.36422432162891,5535581.498355208,1.005708975950256
