observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-05-21T18:45:30.508170Z,2025-05-21T18:45:30.625909Z,117.73899999999999 ms,117.73899999999999 ms,117.73899999999999 ms,117.73899999999999 ms,1
2025-05-21T18:45:35.506178Z,2025-05-21T18:45:35.572041Z,65.863 ms,91.80099999999999 ms,65.863 ms,117.73899999999999 ms,2
2025-05-21T18:45:40.506052Z,2025-05-21T18:45:40.569638Z,63.586000000000006 ms,82.396 ms,63.586000000000006 ms,117.73899999999999 ms,3
2025-05-21T18:45:45.506148Z,2025-05-21T18:45:45.558589Z,52.441 ms,74.90724999999999 ms,52.441 ms,117.73899999999999 ms,4
