observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:45:52.816908Z,2025-04-26T09:45:52.818284Z,1.3760000000000001 ms,1.9030681818181816 ms,1.052 ms,12.762 ms,44
2025-04-26T09:45:52.862888Z,2025-04-26T09:45:52.867645Z,4.757 ms,1.9664888888888885 ms,1.052 ms,12.762 ms,45
2025-04-26T09:45:52.908690Z,2025-04-26T09:45:52.909948Z,1.258 ms,1.9510869565217386 ms,1.052 ms,12.762 ms,46
2025-04-26T09:45:52.953442Z,2025-04-26T09:45:52.954505Z,1.063 ms,1.9321914893617016 ms,1.052 ms,12.762 ms,47
2025-04-26T09:45:52.996914Z,2025-04-26T09:45:52.998122Z,1.2080000000000002 ms,1.9171041666666662 ms,1.052 ms,12.762 ms,48
2025-04-26T09:45:53.041337Z,2025-04-26T09:45:53.042500Z,1.163 ms,1.9017142857142852 ms,1.052 ms,12.762 ms,49
2025-04-26T09:45:53.098604Z,2025-04-26T09:45:53.102775Z,4.171 ms,1.9470999999999994 ms,1.052 ms,12.762 ms,50
2025-04-26T09:45:53.141481Z,2025-04-26T09:45:53.142811Z,1.33 ms,1.9349999999999994 ms,1.052 ms,12.762 ms,51
2025-04-26T09:45:53.186790Z,2025-04-26T09:45:53.187939Z,1.149 ms,1.9198846153846147 ms,1.052 ms,12.762 ms,52
2025-04-26T09:45:53.232716Z,2025-04-26T09:45:53.233854Z,1.138 ms,1.9051320754716974 ms,1.052 ms,12.762 ms,53
2025-04-26T09:45:53.273996Z,2025-04-26T09:45:53.275100Z,1.1039999999999999 ms,1.8902962962962955 ms,1.052 ms,12.762 ms,54
2025-04-26T09:45:53.317626Z,2025-04-26T09:45:53.322170Z,4.5440000000000005 ms,1.938545454545454 ms,1.052 ms,12.762 ms,55
2025-04-26T09:45:53.359324Z,2025-04-26T09:45:53.360484Z,1.16 ms,1.9246428571428562 ms,1.052 ms,12.762 ms,56
2025-04-26T09:45:53.404523Z,2025-04-26T09:45:53.405739Z,1.216 ms,1.9122105263157887 ms,1.052 ms,12.762 ms,57
2025-04-26T09:45:53.447838Z,2025-04-26T09:45:53.448931Z,1.093 ms,1.898086206896551 ms,1.052 ms,12.762 ms,58
2025-04-26T09:45:53.488459Z,2025-04-26T09:45:53.489519Z,1.06 ms,1.8838813559322025 ms,1.052 ms,12.762 ms,59
2025-04-26T09:45:53.535931Z,2025-04-26T09:45:53.540407Z,4.476 ms,1.9270833333333326 ms,1.052 ms,12.762 ms,60
2025-04-26T09:45:53.575763Z,2025-04-26T09:45:53.576870Z,1.107 ms,1.913639344262294 ms,1.052 ms,12.762 ms,61
2025-04-26T09:45:56.243290Z,2025-04-26T09:45:56.244470Z,1.1800000000000002 ms,1.9018064516129025 ms,1.052 ms,12.762 ms,62
2025-04-26T09:45:56.282097Z,2025-04-26T09:45:56.283235Z,1.138 ms,1.8896825396825387 ms,1.052 ms,12.762 ms,63
2025-04-26T09:45:56.323128Z,2025-04-26T09:45:56.324346Z,1.218 ms,1.8791874999999991 ms,1.052 ms,12.762 ms,64
2025-04-26T09:45:56.362101Z,2025-04-26T09:45:56.366956Z,4.8549999999999995 ms,1.92496923076923 ms,1.052 ms,12.762 ms,65
2025-04-26T09:45:56.402592Z,2025-04-26T09:45:56.403679Z,1.087 ms,1.9122727272727267 ms,1.052 ms,12.762 ms,66
2025-04-26T09:45:56.442694Z,2025-04-26T09:45:56.443872Z,1.178 ms,1.9013134328358205 ms,1.052 ms,12.762 ms,67
2025-04-26T09:45:56.483737Z,2025-04-26T09:45:56.484821Z,1.0839999999999999 ms,1.8892941176470583 ms,1.052 ms,12.762 ms,68
2025-04-26T09:45:56.522147Z,2025-04-26T09:45:56.523359Z,1.212 ms,1.8794782608695646 ms,1.052 ms,12.762 ms,69
2025-04-26T09:45:56.571649Z,2025-04-26T09:45:56.576591Z,4.942 ms,1.923228571428571 ms,1.052 ms,12.762 ms,70
2025-04-26T09:45:56.610598Z,2025-04-26T09:45:56.611783Z,1.185 ms,1.9128309859154924 ms,1.052 ms,12.762 ms,71
2025-04-26T09:45:56.651213Z,2025-04-26T09:45:56.652447Z,1.234 ms,1.9034027777777773 ms,1.052 ms,12.762 ms,72
2025-04-26T09:45:56.691544Z,2025-04-26T09:45:56.692629Z,1.085 ms,1.8921917808219175 ms,1.052 ms,12.762 ms,73
2025-04-26T09:45:56.731206Z,2025-04-26T09:45:56.732293Z,1.087 ms,1.8813108108108105 ms,1.052 ms,12.762 ms,74
2025-04-26T09:45:56.773575Z,2025-04-26T09:45:56.780261Z,6.686 ms,1.945373333333333 ms,1.052 ms,12.762 ms,75
