observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:08:42.526423Z,2025-04-26T09:08:42.530771Z,4.348 ms,4.896904761904762 ms,3.573 ms,12.392999999999999 ms,42
2025-04-26T09:08:42.575713Z,2025-04-26T09:08:42.579881Z,4.168 ms,4.879953488372093 ms,3.573 ms,12.392999999999999 ms,43
2025-04-26T09:08:42.620396Z,2025-04-26T09:08:42.624430Z,4.034000000000001 ms,4.860727272727273 ms,3.573 ms,12.392999999999999 ms,44
2025-04-26T09:08:42.668029Z,2025-04-26T09:08:42.671680Z,3.6510000000000002 ms,4.833844444444444 ms,3.573 ms,12.392999999999999 ms,45
2025-04-26T09:08:42.712623Z,2025-04-26T09:08:42.720522Z,7.899 ms,4.900478260869565 ms,3.573 ms,12.392999999999999 ms,46
2025-04-26T09:08:42.759645Z,2025-04-26T09:08:42.763494Z,3.849 ms,4.878106382978722 ms,3.573 ms,12.392999999999999 ms,47
2025-04-26T09:08:42.804704Z,2025-04-26T09:08:42.808660Z,3.9560000000000004 ms,4.8588958333333325 ms,3.573 ms,12.392999999999999 ms,48
2025-04-26T09:08:42.858183Z,2025-04-26T09:08:42.862514Z,4.3309999999999995 ms,4.848122448979591 ms,3.573 ms,12.392999999999999 ms,49
2025-04-26T09:08:42.903002Z,2025-04-26T09:08:42.906726Z,3.7239999999999998 ms,4.825639999999999 ms,3.573 ms,12.392999999999999 ms,50
2025-04-26T09:08:42.947305Z,2025-04-26T09:08:42.956234Z,8.929 ms,4.906098039215686 ms,3.573 ms,12.392999999999999 ms,51
2025-04-26T09:08:42.995605Z,2025-04-26T09:08:42.999779Z,4.1739999999999995 ms,4.89201923076923 ms,3.573 ms,12.392999999999999 ms,52
2025-04-26T09:08:43.042911Z,2025-04-26T09:08:43.046943Z,4.032 ms,4.875792452830188 ms,3.573 ms,12.392999999999999 ms,53
2025-04-26T09:08:43.087403Z,2025-04-26T09:08:43.091309Z,3.906 ms,4.857833333333333 ms,3.573 ms,12.392999999999999 ms,54
2025-04-26T09:08:43.132269Z,2025-04-26T09:08:43.135870Z,3.601 ms,4.834981818181817 ms,3.573 ms,12.392999999999999 ms,55
2025-04-26T09:08:43.174820Z,2025-04-26T09:08:43.183099Z,8.279 ms,4.896482142857143 ms,3.573 ms,12.392999999999999 ms,56
2025-04-26T09:08:43.218623Z,2025-04-26T09:08:43.222394Z,3.771 ms,4.876736842105264 ms,3.573 ms,12.392999999999999 ms,57
2025-04-26T09:08:43.261250Z,2025-04-26T09:08:43.265226Z,3.9760000000000004 ms,4.861206896551724 ms,3.573 ms,12.392999999999999 ms,58
2025-04-26T09:08:43.314674Z,2025-04-26T09:08:43.318545Z,3.871 ms,4.84442372881356 ms,3.573 ms,12.392999999999999 ms,59
2025-04-26T09:08:43.357772Z,2025-04-26T09:08:43.361658Z,3.886 ms,4.82845 ms,3.573 ms,12.392999999999999 ms,60
2025-04-26T09:08:43.404023Z,2025-04-26T09:08:43.412464Z,8.441 ms,4.887672131147541 ms,3.573 ms,12.392999999999999 ms,61
