observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:30:17.780342Z,2025-04-26T09:30:17.839928Z,59.586 ms,42.91365116279069 ms,20.94 ms,84.746 ms,43
2025-04-26T09:30:17.902311Z,2025-04-26T09:30:17.942572Z,40.260999999999996 ms,42.85336363636363 ms,20.94 ms,84.746 ms,44
2025-04-26T09:30:17.939678Z,2025-04-26T09:30:17.978385Z,38.707 ms,42.76122222222222 ms,20.94 ms,84.746 ms,45
2025-04-26T09:30:18.006840Z,2025-04-26T09:30:18.037198Z,30.358 ms,42.49158695652174 ms,20.94 ms,84.746 ms,46
2025-04-26T09:30:18.068115Z,2025-04-26T09:30:18.096038Z,27.923 ms,42.181617021276594 ms,20.94 ms,84.746 ms,47
2025-04-26T09:30:18.127235Z,2025-04-26T09:30:18.146921Z,19.686 ms,41.71295833333333 ms,19.686 ms,84.746 ms,48
2025-04-26T09:30:18.178264Z,2025-04-26T09:30:18.199881Z,21.617 ms,41.30283673469388 ms,19.686 ms,84.746 ms,49
2025-04-26T09:30:18.236791Z,2025-04-26T09:30:18.257922Z,21.131 ms,40.8994 ms,19.686 ms,84.746 ms,50
2025-04-26T09:30:18.287681Z,2025-04-26T09:30:18.305306Z,17.625 ms,40.44303921568628 ms,17.625 ms,84.746 ms,51
2025-04-26T09:30:18.333076Z,2025-04-26T09:30:18.349670Z,16.594 ms,39.984403846153846 ms,16.594 ms,84.746 ms,52
2025-04-26T09:30:18.380359Z,2025-04-26T09:30:18.402867Z,22.508 ms,39.654660377358496 ms,16.594 ms,84.746 ms,53
2025-04-26T09:30:18.427212Z,2025-04-26T09:30:18.443371Z,16.159 ms,39.21955555555556 ms,16.159 ms,84.746 ms,54
2025-04-26T09:30:18.474399Z,2025-04-26T09:30:18.487651Z,13.252 ms,38.74741818181818 ms,13.252 ms,84.746 ms,55
2025-04-26T09:30:18.522559Z,2025-04-26T09:30:18.539985Z,17.426000000000002 ms,38.36667857142857 ms,13.252 ms,84.746 ms,56
2025-04-26T09:30:18.583256Z,2025-04-26T09:30:18.603994Z,20.738 ms,38.05740350877194 ms,13.252 ms,84.746 ms,57
2025-04-26T09:30:18.638328Z,2025-04-26T09:30:18.671808Z,33.480000000000004 ms,37.97848275862069 ms,13.252 ms,84.746 ms,58
2025-04-26T09:30:18.691944Z,2025-04-26T09:30:18.724163Z,32.218999999999994 ms,37.880864406779665 ms,13.252 ms,84.746 ms,59
2025-04-26T09:30:18.758622Z,2025-04-26T09:30:18.775894Z,17.272 ms,37.53738333333334 ms,13.252 ms,84.746 ms,60
2025-04-26T09:30:18.801884Z,2025-04-26T09:30:18.813041Z,11.157 ms,37.10491803278689 ms,11.157 ms,84.746 ms,61
2025-04-26T09:30:20.406498Z,2025-04-26T09:30:20.426245Z,19.747 ms,36.824951612903234 ms,11.157 ms,84.746 ms,62
2025-04-26T09:30:20.449605Z,2025-04-26T09:30:20.462737Z,13.132 ms,36.448873015873026 ms,11.157 ms,84.746 ms,63
2025-04-26T09:30:20.494547Z,2025-04-26T09:30:20.509574Z,15.027000000000001 ms,36.11415625000001 ms,11.157 ms,84.746 ms,64
2025-04-26T09:30:20.537789Z,2025-04-26T09:30:20.553745Z,15.956000000000001 ms,35.80403076923078 ms,11.157 ms,84.746 ms,65
2025-04-26T09:30:20.581854Z,2025-04-26T09:30:20.593848Z,11.994 ms,35.44327272727274 ms,11.157 ms,84.746 ms,66
2025-04-26T09:30:20.622865Z,2025-04-26T09:30:20.635887Z,13.022 ms,35.10862686567165 ms,11.157 ms,84.746 ms,67
2025-04-26T09:30:20.664591Z,2025-04-26T09:30:20.678452Z,13.861 ms,34.796161764705886 ms,11.157 ms,84.746 ms,68
2025-04-26T09:30:20.713119Z,2025-04-26T09:30:20.725425Z,12.306 ms,34.47021739130435 ms,11.157 ms,84.746 ms,69
2025-04-26T09:30:20.768565Z,2025-04-26T09:30:20.783903Z,15.338 ms,34.19690000000001 ms,11.157 ms,84.746 ms,70
2025-04-26T09:30:20.816668Z,2025-04-26T09:30:20.847681Z,31.012999999999998 ms,34.152056338028174 ms,11.157 ms,84.746 ms,71
2025-04-26T09:30:20.865993Z,2025-04-26T09:30:20.882514Z,16.521 ms,33.90718055555556 ms,11.157 ms,84.746 ms,72
2025-04-26T09:30:20.915590Z,2025-04-26T09:30:20.939763Z,24.173000000000002 ms,33.77383561643837 ms,11.157 ms,84.746 ms,73
2025-04-26T09:30:20.962006Z,2025-04-26T09:30:20.978951Z,16.945 ms,33.54641891891894 ms,11.157 ms,84.746 ms,74
2025-04-26T09:30:21.006974Z,2025-04-26T09:30:21.028608Z,21.634 ms,33.387586666666685 ms,11.157 ms,84.746 ms,75
2025-04-26T09:30:21.055818Z,2025-04-26T09:30:21.077422Z,21.604000000000003 ms,33.23253947368423 ms,11.157 ms,84.746 ms,76
2025-04-26T09:30:21.110928Z,2025-04-26T09:30:21.127771Z,16.843 ms,33.01968831168833 ms,11.157 ms,84.746 ms,77
2025-04-26T09:30:21.161847Z,2025-04-26T09:30:21.189478Z,27.631 ms,32.95060256410258 ms,11.157 ms,84.746 ms,78
2025-04-26T09:30:21.208006Z,2025-04-26T09:30:21.220450Z,12.444 ms,32.691025316455715 ms,11.157 ms,84.746 ms,79
2025-04-26T09:30:21.257662Z,2025-04-26T09:30:21.269847Z,12.185 ms,32.43470000000002 ms,11.157 ms,84.746 ms,80
2025-04-26T09:30:21.300080Z,2025-04-26T09:30:21.315978Z,15.898 ms,32.23054320987656 ms,11.157 ms,84.746 ms,81
2025-04-26T09:30:21.344113Z,2025-04-26T09:30:21.359806Z,15.692999999999998 ms,32.02886585365856 ms,11.157 ms,84.746 ms,82
2025-04-26T09:30:21.390092Z,2025-04-26T09:30:21.407004Z,16.912 ms,31.846734939759056 ms,11.157 ms,84.746 ms,83
2025-04-26T09:30:21.434349Z,2025-04-26T09:30:21.449104Z,14.755 ms,31.643261904761925 ms,11.157 ms,84.746 ms,84
2025-04-26T09:30:21.478876Z,2025-04-26T09:30:21.512773Z,33.897 ms,31.669776470588253 ms,11.157 ms,84.746 ms,85
2025-04-26T09:30:21.525033Z,2025-04-26T09:30:21.551750Z,26.717000000000002 ms,31.61218604651165 ms,11.157 ms,84.746 ms,86
2025-04-26T09:30:21.568882Z,2025-04-26T09:30:21.582967Z,14.085 ms,31.410724137931055 ms,11.157 ms,84.746 ms,87
2025-04-26T09:30:21.611373Z,2025-04-26T09:30:21.636456Z,25.083000000000002 ms,31.338818181818205 ms,11.157 ms,84.746 ms,88
2025-04-26T09:30:21.657475Z,2025-04-26T09:30:21.673270Z,15.795 ms,31.16416853932586 ms,11.157 ms,84.746 ms,89
2025-04-26T09:30:21.728384Z,2025-04-26T09:30:21.740717Z,12.333 ms,30.95493333333335 ms,11.157 ms,84.746 ms,90
2025-04-26T09:30:21.770280Z,2025-04-26T09:30:21.784338Z,14.058 ms,30.769252747252764 ms,11.157 ms,84.746 ms,91
2025-04-26T09:30:21.814958Z,2025-04-26T09:30:21.838200Z,23.241999999999997 ms,30.68743478260871 ms,11.157 ms,84.746 ms,92
