observed_at,iteration_started_at,iteration_finished_at,processing_time_since_observed_at,mean_processing_time_since_observed_at,min_processing_time_since_observed_at,max_processing_time_since_observed_at,query_execution_time,mean_execution_time,min_execution_time,max_execution_time,notifications_received
2025-04-23T05:30:35.697810Z,2025-04-23T05:30:35.334302Z,2025-04-23T05:30:35.781910Z,84.1 ms,64.60559999999998 ms,47.957 ms,156.24699999999999 ms,447.608 ms,414.46020000000004 ms,355.774 ms,674.227 ms,25
2025-04-23T05:30:41.165000Z,2025-04-23T05:30:40.818283Z,2025-04-23T05:30:41.220178Z,55.178 ms,64.243 ms,47.957 ms,156.24699999999999 ms,401.895 ms,413.97692307692313 ms,355.774 ms,674.227 ms,26
2025-04-23T05:30:46.572757Z,2025-04-23T05:30:46.250327Z,2025-04-23T05:30:46.628807Z,56.050000000000004 ms,63.93955555555554 ms,47.957 ms,156.24699999999999 ms,378.47999999999996 ms,412.6622222222223 ms,355.774 ms,674.227 ms,27
2025-04-23T05:30:52.040105Z,2025-04-23T05:30:51.662320Z,2025-04-23T05:30:52.100415Z,60.31 ms,63.80992857142856 ms,47.957 ms,156.24699999999999 ms,438.095 ms,413.57053571428577 ms,355.774 ms,674.227 ms,28
2025-04-23T05:30:57.438856Z,2025-04-23T05:30:57.131165Z,2025-04-23T05:30:57.489623Z,50.767 ms,63.36017241379309 ms,47.957 ms,156.24699999999999 ms,358.458 ms,411.67010344827594 ms,355.774 ms,674.227 ms,29
2025-04-23T05:31:03.114436Z,2025-04-23T05:31:02.518296Z,2025-04-23T05:31:03.176286Z,61.85 ms,63.30983333333333 ms,47.957 ms,156.24699999999999 ms,657.99 ms,419.8807666666667 ms,355.774 ms,674.227 ms,30
2025-04-23T05:31:08.521782Z,2025-04-23T05:31:08.206311Z,2025-04-23T05:31:08.581866Z,60.083999999999996 ms,63.20577419354838 ms,47.957 ms,156.24699999999999 ms,375.555 ms,418.45090322580654 ms,355.774 ms,674.227 ms,31
2025-04-23T05:31:14.033656Z,2025-04-23T05:31:13.610319Z,2025-04-23T05:31:14.084804Z,51.147999999999996 ms,62.828968749999994 ms,47.957 ms,156.24699999999999 ms,474.485 ms,420.20196875000005 ms,355.774 ms,674.227 ms,32
2025-04-23T05:31:19.418191Z,2025-04-23T05:31:19.114282Z,2025-04-23T05:31:19.475394Z,57.202999999999996 ms,62.65848484848484 ms,47.957 ms,156.24699999999999 ms,361.11199999999997 ms,418.41136363636366 ms,355.774 ms,674.227 ms,33
2025-04-23T05:31:24.859631Z,2025-04-23T05:31:24.505683Z,2025-04-23T05:31:24.931847Z,72.21600000000001 ms,62.93958823529411 ms,47.957 ms,156.24699999999999 ms,426.164 ms,418.63938235294125 ms,355.774 ms,674.227 ms,34
2025-04-23T05:31:30.292555Z,2025-04-23T05:31:29.962307Z,2025-04-23T05:31:30.343672Z,51.117000000000004 ms,62.6018 ms,47.957 ms,156.24699999999999 ms,381.365 ms,417.5744000000001 ms,355.774 ms,674.227 ms,35
2025-04-23T05:31:35.675240Z,2025-04-23T05:31:35.370303Z,2025-04-23T05:31:35.732827Z,57.586999999999996 ms,62.46249999999999 ms,47.957 ms,156.24699999999999 ms,362.524 ms,416.04522222222226 ms,355.774 ms,674.227 ms,36
2025-04-23T05:31:41.079160Z,2025-04-23T05:31:40.762289Z,2025-04-23T05:31:41.140829Z,61.669000000000004 ms,62.44105405405405 ms,47.957 ms,156.24699999999999 ms,378.53999999999996 ms,415.03156756756766 ms,355.774 ms,674.227 ms,37
2025-04-23T05:31:46.484050Z,2025-04-23T05:31:46.171748Z,2025-04-23T05:31:46.531249Z,47.199 ms,62.039947368421046 ms,47.199 ms,156.24699999999999 ms,359.50100000000003 ms,413.5702368421053 ms,355.774 ms,674.227 ms,38
2025-04-23T05:31:51.859446Z,2025-04-23T05:31:51.560592Z,2025-04-23T05:31:51.918663Z,59.217 ms,61.96756410256409 ms,47.199 ms,156.24699999999999 ms,358.07099999999997 ms,412.14717948717947 ms,355.774 ms,674.227 ms,39
2025-04-23T05:31:57.295633Z,2025-04-23T05:31:56.946292Z,2025-04-23T05:31:57.352300Z,56.667 ms,61.83504999999999 ms,47.199 ms,156.24699999999999 ms,406.008 ms,411.9937 ms,355.774 ms,674.227 ms,40
2025-04-23T05:32:02.761787Z,2025-04-23T05:32:02.383632Z,2025-04-23T05:32:02.817653Z,55.866 ms,61.68946341463414 ms,47.199 ms,156.24699999999999 ms,434.021 ms,412.53095121951225 ms,355.774 ms,674.227 ms,41
2025-04-23T05:32:08.163217Z,2025-04-23T05:32:07.846296Z,2025-04-23T05:32:08.219830Z,56.613 ms,61.56859523809523 ms,47.199 ms,156.24699999999999 ms,373.534 ms,411.6024523809524 ms,355.774 ms,674.227 ms,42
2025-04-23T05:32:13.561771Z,2025-04-23T05:32:13.250294Z,2025-04-23T05:32:13.609119Z,47.348 ms,61.23788372093023 ms,47.199 ms,156.24699999999999 ms,358.825 ms,410.37506976744186 ms,355.774 ms,674.227 ms,43
2025-04-23T05:32:19.056358Z,2025-04-23T05:32:18.634289Z,2025-04-23T05:32:19.106476Z,50.118 ms,60.98515909090908 ms,47.199 ms,156.24699999999999 ms,472.187 ms,411.7798863636364 ms,355.774 ms,674.227 ms,44
2025-04-23T05:32:24.491672Z,2025-04-23T05:32:24.136740Z,2025-04-23T05:32:24.544413Z,52.741 ms,60.80195555555555 ms,47.199 ms,156.24699999999999 ms,407.673 ms,411.68862222222225 ms,355.774 ms,674.227 ms,45
2025-04-23T05:32:29.889474Z,2025-04-23T05:32:29.574275Z,2025-04-23T05:32:29.945387Z,55.913 ms,60.695673913043464 ms,47.199 ms,156.24699999999999 ms,371.112 ms,410.80652173913046 ms,355.774 ms,674.227 ms,46
2025-04-23T05:32:35.338612Z,2025-04-23T05:32:34.977144Z,2025-04-23T05:32:35.396561Z,57.949 ms,60.637234042553175 ms,47.199 ms,156.24699999999999 ms,419.417 ms,410.9897234042553 ms,355.774 ms,674.227 ms,47
2025-04-23T05:32:40.731107Z,2025-04-23T05:32:40.426294Z,2025-04-23T05:32:40.790889Z,59.782000000000004 ms,60.619416666666645 ms,47.199 ms,156.24699999999999 ms,364.595 ms,410.0231666666667 ms,355.774 ms,674.227 ms,48
2025-04-23T05:32:46.161609Z,2025-04-23T05:32:45.818287Z,2025-04-23T05:32:46.219435Z,57.826 ms,60.56240816326529 ms,47.199 ms,156.24699999999999 ms,401.148 ms,409.8420408163266 ms,355.774 ms,674.227 ms,49
2025-04-23T05:32:51.595856Z,2025-04-23T05:32:51.246308Z,2025-04-23T05:32:51.654681Z,58.825 ms,60.52765999999998 ms,47.199 ms,156.24699999999999 ms,408.373 ms,409.81266000000005 ms,355.774 ms,674.227 ms,50
2025-04-23T05:32:57.016022Z,2025-04-23T05:32:56.686040Z,2025-04-23T05:32:57.069111Z,53.089 ms,60.38180392156861 ms,47.199 ms,156.24699999999999 ms,383.07099999999997 ms,409.2883137254903 ms,355.774 ms,674.227 ms,51
2025-04-23T05:33:02.395777Z,2025-04-23T05:33:02.098304Z,2025-04-23T05:33:02.450661Z,54.884 ms,60.27607692307691 ms,47.199 ms,156.24699999999999 ms,352.35699999999997 ms,408.19348076923086 ms,352.35699999999997 ms,674.227 ms,52
2025-04-23T05:33:07.778982Z,2025-04-23T05:33:07.478295Z,2025-04-23T05:33:07.840280Z,61.298 ms,60.29535849056602 ms,47.199 ms,156.24699999999999 ms,361.985 ms,407.3216226415096 ms,352.35699999999997 ms,674.227 ms,53
2025-04-23T05:33:13.175733Z,2025-04-23T05:33:12.870348Z,2025-04-23T05:33:13.233064Z,57.331 ms,60.24046296296294 ms,47.199 ms,156.24699999999999 ms,362.716 ms,406.4955925925927 ms,352.35699999999997 ms,674.227 ms,54
2025-04-23T05:33:18.620473Z,2025-04-23T05:33:18.260954Z,2025-04-23T05:33:18.669475Z,49.001999999999995 ms,60.036127272727256 ms,47.199 ms,156.24699999999999 ms,408.521 ms,406.5324181818183 ms,352.35699999999997 ms,674.227 ms,55
2025-04-23T05:33:24.006298Z,2025-04-23T05:33:23.698302Z,2025-04-23T05:33:24.061759Z,55.461000000000006 ms,59.95442857142856 ms,47.199 ms,156.24699999999999 ms,363.457 ms,405.76321428571435 ms,352.35699999999997 ms,674.227 ms,56
2025-04-23T05:33:29.397707Z,2025-04-23T05:33:29.090302Z,2025-04-23T05:33:29.444155Z,46.448 ms,59.71747368421052 ms,46.448 ms,156.24699999999999 ms,353.85299999999995 ms,404.85250877192993 ms,352.35699999999997 ms,674.227 ms,57
2025-04-23T05:33:34.787261Z,2025-04-23T05:33:34.474273Z,2025-04-23T05:33:34.852873Z,65.61200000000001 ms,59.819103448275854 ms,46.448 ms,156.24699999999999 ms,378.59999999999997 ms,404.39987931034494 ms,352.35699999999997 ms,674.227 ms,58
2025-04-23T05:33:40.237100Z,2025-04-23T05:33:39.882290Z,2025-04-23T05:33:40.290691Z,53.591 ms,59.71354237288134 ms,46.448 ms,156.24699999999999 ms,408.401 ms,404.46769491525436 ms,352.35699999999997 ms,674.227 ms,59
2025-04-23T05:33:45.689211Z,2025-04-23T05:33:45.318305Z,2025-04-23T05:33:45.746944Z,57.733 ms,59.68053333333332 ms,46.448 ms,156.24699999999999 ms,428.639 ms,404.8705500000001 ms,352.35699999999997 ms,674.227 ms,60
2025-04-23T05:33:51.135914Z,2025-04-23T05:33:50.778302Z,2025-04-23T05:33:51.185778Z,49.864 ms,59.51960655737704 ms,46.448 ms,156.24699999999999 ms,407.476 ms,404.91326229508206 ms,352.35699999999997 ms,674.227 ms,61
2025-04-23T05:33:56.535193Z,2025-04-23T05:33:56.214277Z,2025-04-23T05:33:56.609808Z,74.615 ms,59.763080645161274 ms,46.448 ms,156.24699999999999 ms,395.531 ms,404.761935483871 ms,352.35699999999997 ms,674.227 ms,62
2025-04-23T05:34:01.978022Z,2025-04-23T05:34:01.651916Z,2025-04-23T05:34:02.026004Z,47.982 ms,59.57607936507935 ms,46.448 ms,156.24699999999999 ms,374.08799999999997 ms,404.2750476190477 ms,352.35699999999997 ms,674.227 ms,63
2025-04-23T05:34:07.368536Z,2025-04-23T05:34:07.055933Z,2025-04-23T05:34:07.418081Z,49.545 ms,59.41934374999999 ms,46.448 ms,156.24699999999999 ms,362.148 ms,403.6168125000001 ms,352.35699999999997 ms,674.227 ms,64
2025-04-23T05:34:12.747875Z,2025-04-23T05:34:12.446285Z,2025-04-23T05:34:12.801785Z,53.91 ms,59.33458461538461 ms,46.448 ms,156.24699999999999 ms,355.5 ms,402.8765538461539 ms,352.35699999999997 ms,674.227 ms,65
2025-04-23T05:34:18.187272Z,2025-04-23T05:34:17.830308Z,2025-04-23T05:34:18.244826Z,57.554 ms,59.307606060606055 ms,46.448 ms,156.24699999999999 ms,414.518 ms,403.0529393939395 ms,352.35699999999997 ms,674.227 ms,66
2025-04-23T05:34:23.589737Z,2025-04-23T05:34:23.275882Z,2025-04-23T05:34:23.639108Z,49.370999999999995 ms,59.15929850746268 ms,46.448 ms,156.24699999999999 ms,363.226 ms,402.45850746268667 ms,352.35699999999997 ms,674.227 ms,67
2025-04-23T05:34:28.970369Z,2025-04-23T05:34:28.668328Z,2025-04-23T05:34:29.024117Z,53.748 ms,59.07972058823529 ms,46.448 ms,156.24699999999999 ms,355.78900000000004 ms,401.77219117647076 ms,352.35699999999997 ms,674.227 ms,68
2025-04-23T05:34:34.367610Z,2025-04-23T05:34:34.050298Z,2025-04-23T05:34:34.420241Z,52.631 ms,58.98626086956521 ms,46.448 ms,156.24699999999999 ms,369.94300000000004 ms,401.31089855072474 ms,352.35699999999997 ms,674.227 ms,69
2025-04-23T05:34:39.772024Z,2025-04-23T05:34:39.447614Z,2025-04-23T05:34:39.832840Z,60.816 ms,59.01239999999999 ms,46.448 ms,156.24699999999999 ms,385.226 ms,401.0811142857144 ms,352.35699999999997 ms,674.227 ms,70
2025-04-23T05:34:45.209374Z,2025-04-23T05:34:44.862291Z,2025-04-23T05:34:45.259572Z,50.198 ms,58.88825352112676 ms,46.448 ms,156.24699999999999 ms,397.281 ms,401.02759154929583 ms,352.35699999999997 ms,674.227 ms,71
2025-04-23T05:34:50.622042Z,2025-04-23T05:34:50.289914Z,2025-04-23T05:34:50.680784Z,58.742000000000004 ms,58.88622222222221 ms,46.448 ms,156.24699999999999 ms,390.87 ms,400.88651388888894 ms,352.35699999999997 ms,674.227 ms,72
2025-04-23T05:34:56.019159Z,2025-04-23T05:34:55.710294Z,2025-04-23T05:34:56.077545Z,58.386 ms,58.87936986301368 ms,46.448 ms,156.24699999999999 ms,367.251 ms,400.4257534246576 ms,352.35699999999997 ms,674.227 ms,73
2025-04-23T05:35:01.446874Z,2025-04-23T05:35:01.107888Z,2025-04-23T05:35:01.504898Z,58.024 ms,58.86781081081079 ms,46.448 ms,156.24699999999999 ms,397.01 ms,400.3795945945947 ms,352.35699999999997 ms,674.227 ms,74
2025-04-23T05:35:06.866015Z,2025-04-23T05:35:06.534955Z,2025-04-23T05:35:06.914548Z,48.533 ms,58.73001333333331 ms,46.448 ms,156.24699999999999 ms,379.593 ms,400.1024400000001 ms,352.35699999999997 ms,674.227 ms,75
2025-04-23T05:35:12.250714Z,2025-04-23T05:35:11.944266Z,2025-04-23T05:35:12.300228Z,49.514 ms,58.60874999999998 ms,46.448 ms,156.24699999999999 ms,355.962 ms,399.52164473684223 ms,352.35699999999997 ms,674.227 ms,76
2025-04-23T05:35:17.679185Z,2025-04-23T05:35:17.330406Z,2025-04-23T05:35:17.731709Z,52.524 ms,58.52972727272726 ms,46.448 ms,156.24699999999999 ms,401.303 ms,399.5447792207793 ms,352.35699999999997 ms,674.227 ms,77
2025-04-23T05:35:23.084453Z,2025-04-23T05:35:22.762294Z,2025-04-23T05:35:23.137967Z,53.513999999999996 ms,58.46542307692305 ms,46.448 ms,156.24699999999999 ms,375.673 ms,399.2387307692308 ms,352.35699999999997 ms,674.227 ms,78
2025-04-23T05:35:28.476105Z,2025-04-23T05:35:28.169843Z,2025-04-23T05:35:28.524795Z,48.69 ms,58.34168354430378 ms,46.448 ms,156.24699999999999 ms,354.952 ms,398.6781392405064 ms,352.35699999999997 ms,674.227 ms,79
2025-04-23T05:35:33.863258Z,2025-04-23T05:35:33.554310Z,2025-04-23T05:35:33.917879Z,54.621 ms,58.29517499999998 ms,46.448 ms,156.24699999999999 ms,363.56899999999996 ms,398.2392750000001 ms,352.35699999999997 ms,674.227 ms,80
2025-04-23T05:35:39.263134Z,2025-04-23T05:35:38.946305Z,2025-04-23T05:35:39.310133Z,46.999 ms,58.15571604938269 ms,46.448 ms,156.24699999999999 ms,363.828 ms,397.81444444444446 ms,352.35699999999997 ms,674.227 ms,81
2025-04-23T05:35:44.681954Z,2025-04-23T05:35:44.338336Z,2025-04-23T05:35:44.734506Z,52.552 ms,58.087378048780465 ms,46.448 ms,156.24699999999999 ms,396.17 ms,397.79439024390246 ms,352.35699999999997 ms,674.227 ms,82
2025-04-23T05:35:50.107879Z,2025-04-23T05:35:49.762285Z,2025-04-23T05:35:50.160179Z,52.3 ms,58.01765060240961 ms,46.448 ms,156.24699999999999 ms,397.894 ms,397.7955903614458 ms,352.35699999999997 ms,674.227 ms,83
2025-04-23T05:35:55.493731Z,2025-04-23T05:35:55.190315Z,2025-04-23T05:35:55.573444Z,79.71300000000001 ms,58.27592857142855 ms,46.448 ms,156.24699999999999 ms,383.129 ms,397.6209880952381 ms,352.35699999999997 ms,674.227 ms,84
2025-04-23T05:36:00.907966Z,2025-04-23T05:36:00.602296Z,2025-04-23T05:36:00.966004Z,58.038 ms,58.27312941176468 ms,46.448 ms,156.24699999999999 ms,363.70799999999997 ms,397.2220117647059 ms,352.35699999999997 ms,674.227 ms,85
2025-04-23T05:36:06.300534Z,2025-04-23T05:36:05.996495Z,2025-04-23T05:36:06.362567Z,62.033 ms,58.31684883720927 ms,46.448 ms,156.24699999999999 ms,366.072 ms,396.8598023255814 ms,352.35699999999997 ms,674.227 ms,86
2025-04-23T05:36:11.696404Z,2025-04-23T05:36:11.390283Z,2025-04-23T05:36:11.746710Z,50.306 ms,58.224770114942494 ms,46.448 ms,156.24699999999999 ms,356.427 ms,396.39505747126435 ms,352.35699999999997 ms,674.227 ms,87
2025-04-23T05:36:17.132448Z,2025-04-23T05:36:16.777208Z,2025-04-23T05:36:17.181687Z,49.239 ms,58.12265909090906 ms,46.448 ms,156.24699999999999 ms,404.479 ms,396.4869204545455 ms,352.35699999999997 ms,674.227 ms,88
2025-04-23T05:36:22.617349Z,2025-04-23T05:36:22.211689Z,2025-04-23T05:36:22.671627Z,54.278 ms,58.07946067415727 ms,46.448 ms,156.24699999999999 ms,459.938 ms,397.19985393258435 ms,352.35699999999997 ms,674.227 ms,89
2025-04-23T05:36:28.009585Z,2025-04-23T05:36:27.702411Z,2025-04-23T05:36:28.059680Z,50.095 ms,57.99074444444441 ms,46.448 ms,156.24699999999999 ms,357.269 ms,396.75617777777785 ms,352.35699999999997 ms,674.227 ms,90
2025-04-23T05:36:33.385239Z,2025-04-23T05:36:33.088293Z,2025-04-23T05:36:33.433893Z,48.654 ms,57.888142857142824 ms,46.448 ms,156.24699999999999 ms,345.6 ms,396.194021978022 ms,345.6 ms,674.227 ms,91
2025-04-23T05:36:38.765420Z,2025-04-23T05:36:38.462287Z,2025-04-23T05:36:38.821064Z,55.644 ms,57.86374999999997 ms,46.448 ms,156.24699999999999 ms,358.777 ms,395.7873152173914 ms,345.6 ms,674.227 ms,92
2025-04-23T05:36:44.243889Z,2025-04-23T05:36:43.850283Z,2025-04-23T05:36:44.304371Z,60.482 ms,57.89190322580642 ms,46.448 ms,156.24699999999999 ms,454.08799999999997 ms,396.4142043010753 ms,345.6 ms,674.227 ms,93
2025-04-23T05:36:49.676413Z,2025-04-23T05:36:49.332850Z,2025-04-23T05:36:49.727599Z,51.186 ms,57.82056382978721 ms,46.448 ms,156.24699999999999 ms,394.749 ms,396.3964893617022 ms,345.6 ms,674.227 ms,94
2025-04-23T05:36:55.072619Z,2025-04-23T05:36:54.755741Z,2025-04-23T05:36:55.152609Z,79.99000000000001 ms,58.05392631578945 ms,46.448 ms,156.24699999999999 ms,396.868 ms,396.40145263157893 ms,345.6 ms,674.227 ms,95
2025-04-23T05:37:00.495498Z,2025-04-23T05:37:00.193807Z,2025-04-23T05:37:00.553275Z,57.777 ms,58.051041666666634 ms,46.448 ms,156.24699999999999 ms,359.468 ms,396.01672916666666 ms,345.6 ms,674.227 ms,96
