current_time,start_time,throughput_records,throughput_bytes,throughput_interval
2025-04-07 14:34:06.318351+00:00,2025-04-07 14:34:07.318755+00:00,733.7020135412062,995525.6762208358,1.000406140985433
2025-04-07 14:34:07.318755+00:00,2025-04-07 14:34:08.318764+00:00,897.9927073864645,1218468.104800495,1.0000081210164353
2025-04-07 14:34:08.318764+00:00,2025-04-07 14:34:09.319347+00:00,1009.4118651649952,1369674.9575131352,1.0005826510023326
2025-04-07 14:34:09.319347+00:00,2025-04-07 14:34:10.319948+00:00,1049.368736496376,1423936.4096941724,1.0006015649996698
2025-04-07 14:34:10.319948+00:00,2025-04-07 14:34:11.320285+00:00,1094.6308445011293,1485402.0600335721,1.0003372420032974
2025-04-07 14:34:11.320285+00:00,2025-04-07 14:34:12.320526+00:00,1072.741169031761,1455675.7745776402,1.0002412799804006
2025-04-07 14:34:12.320526+00:00,2025-04-07 14:34:13.320710+00:00,1095.7982328599892,1486987.2040160405,1.0001841280027293
2025-04-07 14:34:13.320710+00:00,2025-04-07 14:34:14.321252+00:00,1103.4021370060632,1497313.7015418555,1.0005418359942269
2025-04-07 14:34:14.321252+00:00,2025-04-07 14:34:15.321277+00:00,1024.9749865120739,1390809.0586979631,1.0000244039983954
2025-04-07 14:34:15.321277+00:00,2025-04-07 14:34:16.321773+00:00,984.5106263273709,1335872.9735834573,1.0004970730224159
2025-04-07 14:34:16.321773+00:00,2025-04-07 14:34:17.322712+00:00,1066.9982977555017,1447877.7266332305,1.0009388039761689
2025-04-07 14:34:17.322712+00:00,2025-04-07 14:34:18.323230+00:00,1142.4080361214828,1550283.6863723206,1.0005181720189285
2025-04-07 14:34:18.323230+00:00,2025-04-07 14:34:19.323311+00:00,1134.9085887919057,1540098.9527355377,1.0000805449963082
2025-04-07 14:34:19.323311+00:00,2025-04-07 14:34:20.323884+00:00,1110.3637704491307,1506767.634208815,1.0005729919939768
2025-04-07 14:34:20.323884+00:00,2025-04-07 14:34:21.324020+00:00,1154.8432681231423,1567170.3083295715,1.0001357170112897
2025-04-07 14:34:21.324020+00:00,2025-04-07 14:34:22.324641+00:00,1152.2839949190734,1563695.3525394984,1.00062137900386
2025-04-07 14:34:22.324641+00:00,2025-04-07 14:34:23.324973+00:00,1160.6154590936485,1575009.1601044575,1.0003313249908388
2025-04-07 14:34:23.324973+00:00,2025-04-07 14:34:24.325678+00:00,1155.185687674036,1567635.943656968,1.000704918988049
2025-04-07 14:34:24.325678+00:00,2025-04-07 14:34:25.326590+00:00,1081.0135794272219,1466910.450074343,1.000912496005185
2025-04-07 14:34:25.326590+00:00,2025-04-07 14:34:26.327184+00:00,1124.3317646557757,1525736.1939461222,1.0005943400028627
2025-04-07 14:34:26.327184+00:00,2025-04-07 14:34:27.327284+00:00,1009.8991878094516,1370336.2075393887,1.000099824013887
2025-04-07 14:34:27.327284+00:00,2025-04-07 14:34:28.327729+00:00,1125.499250760904,1527321.4748329592,1.0004449129919522
2025-04-07 14:34:28.327729+00:00,2025-04-07 14:34:29.328421+00:00,1113.2299932970486,1510660.0960656328,1.0006916869897395
2025-04-07 14:34:29.328421+00:00,2025-04-07 14:34:30.329051+00:00,1087.3149948181406,1475467.4599306236,1.0006299969973043
2025-04-07 14:34:30.329051+00:00,2025-04-07 14:34:31.329225+00:00,1119.804636632897,1519587.8896432307,1.0001744620094541
2025-04-07 14:34:31.329225+00:00,2025-04-07 14:34:32.329628+00:00,1116.5496943866203,1515167.9312512595,1.0004033010045532
2025-04-07 14:34:32.329628+00:00,2025-04-07 14:34:33.329678+00:00,1118.9452343455796,1518420.6824196524,1.0000489439989906
2025-04-07 14:34:33.329678+00:00,2025-04-07 14:34:34.330024+00:00,1116.6134195110367,1515254.4068155952,1.0003462079912424
2025-04-07 14:34:34.330024+00:00,2025-04-07 14:34:35.330064+00:00,1089.9561118343422,1479053.4444436969,1.000040265993448
2025-04-07 14:34:35.330064+00:00,2025-04-07 14:34:36.330361+00:00,1126.665426546712,1528904.9778864712,1.0002969590132125
2025-04-07 14:34:36.330361+00:00,2025-04-07 14:34:37.331128+00:00,1123.1383507227456,1524115.7288987036,1.0007671799976379
2025-04-07 14:34:37.331128+00:00,2025-04-07 14:34:38.331643+00:00,1015.4773957401771,1377911.8728274792,1.000514638988534
2025-04-07 14:34:38.331643+00:00,2025-04-07 14:34:39.332485+00:00,1091.0818840577056,1480583.129277789,1.0008414729963988
2025-04-07 14:34:39.332485+00:00,2025-04-07 14:34:40.332669+00:00,1080.8001794744484,1466619.8483528704,1.0001848820247687
2025-04-07 14:34:40.332669+00:00,2025-04-07 14:34:41.333026+00:00,1097.607964097221,1489445.0104933379,1.0003571729757823
2025-04-07 14:34:41.333026+00:00,2025-04-07 14:34:42.333612+00:00,1116.3457064238733,1514891.1177595991,1.000586103007663
2025-04-07 14:34:42.333612+00:00,2025-04-07 14:34:43.334159+00:00,1111.392680570468,1508164.8648033722,1.000546449009562
2025-04-07 14:34:43.334159+00:00,2025-04-07 14:34:44.335140+00:00,1089.930792051389,1479020.100494145,1.0009809870098252
2025-04-07 14:34:44.335140+00:00,2025-04-07 14:34:45.335456+00:00,1079.658305434615,1465069.3290171367,1.0003164839872625
2025-04-07 14:34:45.335456+00:00,2025-04-07 14:34:46.335989+00:00,1096.4159808694762,1487826.4913636635,1.0005326620012056
2025-04-07 14:34:46.335989+00:00,2025-04-07 14:34:47.336747+00:00,1098.1678270773398,1490205.7474016238,1.0007577830110677
