observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-22T11:40:20.641126Z,2025-04-22T11:40:20.646305Z,5.178999999999999 ms,6.064250000000002 ms,4.981 ms,9.587 ms,44
2025-04-22T11:40:21.143774Z,2025-04-22T11:40:21.148886Z,5.112 ms,6.0430888888888905 ms,4.981 ms,9.587 ms,45
2025-04-22T11:40:21.646211Z,2025-04-22T11:40:21.651756Z,5.545 ms,6.032260869565221 ms,4.981 ms,9.587 ms,46
2025-04-22T11:40:22.148964Z,2025-04-22T11:40:22.153994Z,5.029999999999999 ms,6.010936170212768 ms,4.981 ms,9.587 ms,47
2025-04-22T11:40:22.651623Z,2025-04-22T11:40:22.659887Z,8.264000000000001 ms,6.057875000000002 ms,4.981 ms,9.587 ms,48
2025-04-22T11:40:23.154243Z,2025-04-22T11:40:23.159369Z,5.126 ms,6.038857142857145 ms,4.981 ms,9.587 ms,49
2025-04-22T11:40:23.656686Z,2025-04-22T11:40:23.661494Z,4.808 ms,6.014240000000002 ms,4.808 ms,9.587 ms,50
2025-04-22T11:40:24.159362Z,2025-04-22T11:40:24.164528Z,5.1659999999999995 ms,5.997607843137256 ms,4.808 ms,9.587 ms,51
2025-04-22T11:40:24.661586Z,2025-04-22T11:40:24.666929Z,5.343 ms,5.9850192307692325 ms,4.808 ms,9.587 ms,52
2025-04-22T11:40:25.164462Z,2025-04-22T11:40:25.170591Z,6.129 ms,5.987735849056605 ms,4.808 ms,9.587 ms,53
2025-04-22T11:40:25.667141Z,2025-04-22T11:40:25.672810Z,5.6690000000000005 ms,5.981833333333334 ms,4.808 ms,9.587 ms,54
2025-04-22T11:40:26.169856Z,2025-04-22T11:40:26.175729Z,5.872999999999999 ms,5.979854545454547 ms,4.808 ms,9.587 ms,55
2025-04-22T11:40:26.672744Z,2025-04-22T11:40:26.678009Z,5.265 ms,5.967089285714287 ms,4.808 ms,9.587 ms,56
2025-04-22T11:40:27.175245Z,2025-04-22T11:40:27.180508Z,5.263 ms,5.954736842105265 ms,4.808 ms,9.587 ms,57
2025-04-22T11:40:27.678042Z,2025-04-22T11:40:27.683819Z,5.777 ms,5.951672413793105 ms,4.808 ms,9.587 ms,58
2025-04-22T11:40:28.181076Z,2025-04-22T11:40:28.186814Z,5.738 ms,5.948050847457629 ms,4.808 ms,9.587 ms,59
2025-04-22T11:40:28.683725Z,2025-04-22T11:40:28.688783Z,5.058 ms,5.933216666666668 ms,4.808 ms,9.587 ms,60
2025-04-22T11:40:29.186433Z,2025-04-22T11:40:29.192116Z,5.683 ms,5.929114754098363 ms,4.808 ms,9.587 ms,61
2025-04-22T11:40:29.689141Z,2025-04-22T11:40:29.694451Z,5.31 ms,5.919129032258065 ms,4.808 ms,9.587 ms,62
2025-04-22T11:40:30.191649Z,2025-04-22T11:40:30.196891Z,5.242 ms,5.908380952380954 ms,4.808 ms,9.587 ms,63
2025-04-22T11:40:30.694211Z,2025-04-22T11:40:30.699887Z,5.675999999999999 ms,5.904750000000002 ms,4.808 ms,9.587 ms,64
2025-04-22T11:40:31.196644Z,2025-04-22T11:40:31.204532Z,7.887999999999999 ms,5.935261538461541 ms,4.808 ms,9.587 ms,65
2025-04-22T11:40:31.699188Z,2025-04-22T11:40:31.704022Z,4.834 ms,5.91857575757576 ms,4.808 ms,9.587 ms,66
2025-04-22T11:40:32.201181Z,2025-04-22T11:40:32.206175Z,4.994 ms,5.904776119402987 ms,4.808 ms,9.587 ms,67
2025-04-22T11:40:32.703738Z,2025-04-22T11:40:32.708688Z,4.95 ms,5.890735294117649 ms,4.808 ms,9.587 ms,68
2025-04-22T11:40:33.206170Z,2025-04-22T11:40:33.211416Z,5.2459999999999996 ms,5.881391304347828 ms,4.808 ms,9.587 ms,69
2025-04-22T11:40:33.708603Z,2025-04-22T11:40:33.713440Z,4.837 ms,5.86647142857143 ms,4.808 ms,9.587 ms,70
2025-04-22T11:40:34.211406Z,2025-04-22T11:40:34.217020Z,5.614 ms,5.8629154929577485 ms,4.808 ms,9.587 ms,71
2025-04-22T11:40:34.713807Z,2025-04-22T11:40:34.719290Z,5.483 ms,5.85763888888889 ms,4.808 ms,9.587 ms,72
2025-04-22T11:40:35.216323Z,2025-04-22T11:40:35.221209Z,4.886 ms,5.844328767123289 ms,4.808 ms,9.587 ms,73
2025-04-22T11:40:35.718875Z,2025-04-22T11:40:35.723776Z,4.901 ms,5.831581081081082 ms,4.808 ms,9.587 ms,74
2025-04-22T11:40:36.221536Z,2025-04-22T11:40:36.226552Z,5.016 ms,5.820706666666668 ms,4.808 ms,9.587 ms,75
2025-04-22T11:40:36.723989Z,2025-04-22T11:40:36.729276Z,5.287 ms,5.813684210526318 ms,4.808 ms,9.587 ms,76
2025-04-22T11:40:37.226526Z,2025-04-22T11:40:37.231734Z,5.208 ms,5.805818181818184 ms,4.808 ms,9.587 ms,77
2025-04-22T11:40:37.729007Z,2025-04-22T11:40:37.734559Z,5.552 ms,5.802564102564104 ms,4.808 ms,9.587 ms,78
2025-04-22T11:40:38.231562Z,2025-04-22T11:40:38.236418Z,4.856 ms,5.790582278481014 ms,4.808 ms,9.587 ms,79
2025-04-22T11:40:38.733859Z,2025-04-22T11:40:38.738717Z,4.8580000000000005 ms,5.778925000000002 ms,4.808 ms,9.587 ms,80
2025-04-22T11:40:39.236721Z,2025-04-22T11:40:39.241522Z,4.801 ms,5.766851851851853 ms,4.801 ms,9.587 ms,81
2025-04-22T11:40:39.739492Z,2025-04-22T11:40:39.744309Z,4.817 ms,5.755268292682929 ms,4.801 ms,9.587 ms,82
2025-04-22T11:40:40.242370Z,2025-04-22T11:40:40.250287Z,7.917000000000001 ms,5.7813132530120495 ms,4.801 ms,9.587 ms,83
2025-04-22T11:40:40.745016Z,2025-04-22T11:40:40.750720Z,5.704 ms,5.780392857142859 ms,4.801 ms,9.587 ms,84
2025-04-22T11:40:41.247772Z,2025-04-22T11:40:41.253699Z,5.927 ms,5.782117647058825 ms,4.801 ms,9.587 ms,85
2025-04-22T11:40:41.750194Z,2025-04-22T11:40:41.755897Z,5.702999999999999 ms,5.781197674418606 ms,4.801 ms,9.587 ms,86
2025-04-22T11:40:42.252627Z,2025-04-22T11:40:42.257992Z,5.365 ms,5.776413793103449 ms,4.801 ms,9.587 ms,87
2025-04-22T11:40:42.755196Z,2025-04-22T11:40:42.760363Z,5.167 ms,5.769488636363637 ms,4.801 ms,9.587 ms,88
2025-04-22T11:40:43.257066Z,2025-04-22T11:40:43.262609Z,5.543 ms,5.7669438202247205 ms,4.801 ms,9.587 ms,89
2025-04-22T11:40:43.759530Z,2025-04-22T11:40:43.764357Z,4.827 ms,5.756500000000001 ms,4.801 ms,9.587 ms,90
2025-04-22T11:40:44.262214Z,2025-04-22T11:40:44.267906Z,5.692 ms,5.75579120879121 ms,4.801 ms,9.587 ms,91
2025-04-22T11:40:44.764607Z,2025-04-22T11:40:44.769619Z,5.012 ms,5.747706521739132 ms,4.801 ms,9.587 ms,92
2025-04-22T11:40:45.267097Z,2025-04-22T11:40:45.272244Z,5.146999999999999 ms,5.7412473118279586 ms,4.801 ms,9.587 ms,93
2025-04-22T11:40:45.769252Z,2025-04-22T11:40:45.774251Z,4.999 ms,5.733351063829789 ms,4.801 ms,9.587 ms,94
2025-04-22T11:40:46.271805Z,2025-04-22T11:40:46.276895Z,5.09 ms,5.726578947368423 ms,4.801 ms,9.587 ms,95
2025-04-22T11:40:46.774606Z,2025-04-22T11:40:46.779523Z,4.917000000000001 ms,5.718145833333335 ms,4.801 ms,9.587 ms,96
