observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T20:08:12.052315Z,2025-04-20T20:08:12.117356Z,65.041 ms,90.43316279069766 ms,61.023 ms,453.19300000000004 ms,43
2025-04-20T20:08:12.101005Z,2025-04-20T20:08:12.164749Z,63.74399999999999 ms,89.8265909090909 ms,61.023 ms,453.19300000000004 ms,44
2025-04-20T20:08:12.148101Z,2025-04-20T20:08:12.224830Z,76.729 ms,89.53553333333332 ms,61.023 ms,453.19300000000004 ms,45
2025-04-20T20:08:12.203451Z,2025-04-20T20:08:12.264101Z,60.650000000000006 ms,88.90758695652173 ms,60.650000000000006 ms,453.19300000000004 ms,46
2025-04-20T20:08:12.249051Z,2025-04-20T20:08:12.309680Z,60.629000000000005 ms,88.305914893617 ms,60.629000000000005 ms,453.19300000000004 ms,47
2025-04-20T20:08:12.293794Z,2025-04-20T20:08:12.354762Z,60.968 ms,87.73637499999998 ms,60.629000000000005 ms,453.19300000000004 ms,48
2025-04-20T20:08:12.338690Z,2025-04-20T20:08:12.401147Z,62.457 ms,87.22046938775509 ms,60.629000000000005 ms,453.19300000000004 ms,49
2025-04-20T20:08:12.385758Z,2025-04-20T20:08:12.446446Z,60.688 ms,86.68981999999997 ms,60.629000000000005 ms,453.19300000000004 ms,50
2025-04-20T20:08:12.430111Z,2025-04-20T20:08:12.494952Z,64.841 ms,86.26141176470587 ms,60.629000000000005 ms,453.19300000000004 ms,51
2025-04-20T20:08:12.478863Z,2025-04-20T20:08:12.544283Z,65.42 ms,85.86061538461537 ms,60.629000000000005 ms,453.19300000000004 ms,52
2025-04-20T20:08:12.527859Z,2025-04-20T20:08:12.590419Z,62.56 ms,85.42098113207545 ms,60.629000000000005 ms,453.19300000000004 ms,53
2025-04-20T20:08:12.573972Z,2025-04-20T20:08:12.639466Z,65.494 ms,85.05196296296296 ms,60.629000000000005 ms,453.19300000000004 ms,54
2025-04-20T20:08:12.618170Z,2025-04-20T20:08:12.678071Z,59.901 ms,84.59467272727272 ms,59.901 ms,453.19300000000004 ms,55
2025-04-20T20:08:12.662200Z,2025-04-20T20:08:12.745205Z,83.005 ms,84.5662857142857 ms,59.901 ms,453.19300000000004 ms,56
2025-04-20T20:08:12.727853Z,2025-04-20T20:08:12.790999Z,63.145999999999994 ms,84.19049122807017 ms,59.901 ms,453.19300000000004 ms,57
2025-04-20T20:08:12.774607Z,2025-04-20T20:08:12.845297Z,70.69 ms,83.95772413793102 ms,59.901 ms,453.19300000000004 ms,58
2025-04-20T20:08:12.819873Z,2025-04-20T20:08:12.884954Z,65.081 ms,83.63777966101694 ms,59.901 ms,453.19300000000004 ms,59
2025-04-20T20:08:12.864975Z,2025-04-20T20:08:12.924543Z,59.568000000000005 ms,83.23661666666665 ms,59.568000000000005 ms,453.19300000000004 ms,60
2025-04-20T20:08:12.908140Z,2025-04-20T20:08:12.966945Z,58.805 ms,82.83609836065573 ms,58.805 ms,453.19300000000004 ms,61
2025-04-20T20:08:12.950831Z,2025-04-20T20:08:13.016809Z,65.978 ms,82.5641935483871 ms,58.805 ms,453.19300000000004 ms,62
2025-04-20T20:08:12.994760Z,2025-04-20T20:08:13.055408Z,60.648 ms,82.21631746031744 ms,58.805 ms,453.19300000000004 ms,63
2025-04-20T20:08:13.037570Z,2025-04-20T20:08:13.099901Z,62.330999999999996 ms,81.905609375 ms,58.805 ms,453.19300000000004 ms,64
2025-04-20T20:08:13.081417Z,2025-04-20T20:08:13.141792Z,60.375 ms,81.57436923076922 ms,58.805 ms,453.19300000000004 ms,65
2025-04-20T20:08:13.123756Z,2025-04-20T20:08:13.215696Z,91.94 ms,81.73142424242423 ms,58.805 ms,453.19300000000004 ms,66
2025-04-20T20:08:13.184849Z,2025-04-20T20:08:13.252939Z,68.09 ms,81.52782089552238 ms,58.805 ms,453.19300000000004 ms,67
2025-04-20T20:08:13.227824Z,2025-04-20T20:08:13.291534Z,63.71 ms,81.26579411764705 ms,58.805 ms,453.19300000000004 ms,68
2025-04-20T20:08:13.270574Z,2025-04-20T20:08:13.329154Z,58.58 ms,80.93701449275362 ms,58.58 ms,453.19300000000004 ms,69
