observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T18:54:34.263791Z,2025-04-20T18:54:34.361835Z,98.04400000000001 ms,76.29473333333333 ms,52.169 ms,103.615 ms,45
2025-04-20T18:54:34.318784Z,2025-04-20T18:54:34.405470Z,86.68599999999999 ms,76.5206304347826 ms,52.169 ms,103.615 ms,46
2025-04-20T18:54:34.356050Z,2025-04-20T18:54:34.451330Z,95.28 ms,76.91976595744678 ms,52.169 ms,103.615 ms,47
2025-04-20T18:54:34.393184Z,2025-04-20T18:54:34.498307Z,105.12299999999999 ms,77.50733333333332 ms,52.169 ms,105.12299999999999 ms,48
2025-04-20T18:54:34.431521Z,2025-04-20T18:54:34.537791Z,106.27000000000001 ms,78.09432653061222 ms,52.169 ms,106.27000000000001 ms,49
2025-04-20T18:54:34.472721Z,2025-04-20T18:54:34.568855Z,96.134 ms,78.45512 ms,52.169 ms,106.27000000000001 ms,50
2025-04-20T18:54:34.511491Z,2025-04-20T18:54:34.606946Z,95.455 ms,78.78845098039214 ms,52.169 ms,106.27000000000001 ms,51
2025-04-20T18:54:34.546748Z,2025-04-20T18:54:34.641226Z,94.47800000000001 ms,79.09017307692305 ms,52.169 ms,106.27000000000001 ms,52
2025-04-20T18:54:34.582552Z,2025-04-20T18:54:34.678974Z,96.422 ms,79.41718867924526 ms,52.169 ms,106.27000000000001 ms,53
2025-04-20T18:54:34.618521Z,2025-04-20T18:54:34.711784Z,93.263 ms,79.67359259259256 ms,52.169 ms,106.27000000000001 ms,54
2025-04-20T18:54:34.653899Z,2025-04-20T18:54:34.749988Z,96.089 ms,79.97205454545451 ms,52.169 ms,106.27000000000001 ms,55
2025-04-20T18:54:34.699380Z,2025-04-20T18:54:34.790291Z,90.911 ms,80.16739285714283 ms,52.169 ms,106.27000000000001 ms,56
2025-04-20T18:54:34.735511Z,2025-04-20T18:54:34.825057Z,89.546 ms,80.33192982456139 ms,52.169 ms,106.27000000000001 ms,57
2025-04-20T18:54:34.772432Z,2025-04-20T18:54:34.864301Z,91.869 ms,80.5308448275862 ms,52.169 ms,106.27000000000001 ms,58
2025-04-20T18:54:34.808780Z,2025-04-20T18:54:34.898256Z,89.476 ms,80.68245762711864 ms,52.169 ms,106.27000000000001 ms,59
2025-04-20T18:54:34.844912Z,2025-04-20T18:54:34.937077Z,92.16499999999999 ms,80.87383333333332 ms,52.169 ms,106.27000000000001 ms,60
2025-04-20T18:54:34.883322Z,2025-04-20T18:54:34.969587Z,86.265 ms,80.96221311475409 ms,52.169 ms,106.27000000000001 ms,61
2025-04-20T18:54:38.487913Z,2025-04-20T18:54:38.536912Z,48.999 ms,80.44667741935483 ms,48.999 ms,106.27000000000001 ms,62
2025-04-20T18:54:38.521400Z,2025-04-20T18:54:38.573602Z,52.202 ms,79.9983492063492 ms,48.999 ms,106.27000000000001 ms,63
2025-04-20T18:54:38.559077Z,2025-04-20T18:54:38.609525Z,50.448 ms,79.536625 ms,48.999 ms,106.27000000000001 ms,64
2025-04-20T18:54:38.595277Z,2025-04-20T18:54:38.645103Z,49.826 ms,79.07953846153846 ms,48.999 ms,106.27000000000001 ms,65
2025-04-20T18:54:38.630184Z,2025-04-20T18:54:38.706434Z,76.25 ms,79.03666666666668 ms,48.999 ms,106.27000000000001 ms,66
2025-04-20T18:54:38.677410Z,2025-04-20T18:54:38.742101Z,64.691 ms,78.82255223880597 ms,48.999 ms,106.27000000000001 ms,67
2025-04-20T18:54:38.714188Z,2025-04-20T18:54:38.777421Z,63.233 ms,78.59329411764706 ms,48.999 ms,106.27000000000001 ms,68
2025-04-20T18:54:38.750089Z,2025-04-20T18:54:38.811894Z,61.805 ms,78.34998550724639 ms,48.999 ms,106.27000000000001 ms,69
2025-04-20T18:54:38.785630Z,2025-04-20T18:54:38.849963Z,64.333 ms,78.14974285714287 ms,48.999 ms,106.27000000000001 ms,70
2025-04-20T18:54:38.822190Z,2025-04-20T18:54:38.886477Z,64.28699999999999 ms,77.9544929577465 ms,48.999 ms,106.27000000000001 ms,71
2025-04-20T18:54:38.857467Z,2025-04-20T18:54:38.921606Z,64.139 ms,77.76261111111111 ms,48.999 ms,106.27000000000001 ms,72
2025-04-20T18:54:38.894050Z,2025-04-20T18:54:38.956360Z,62.309999999999995 ms,77.55093150684932 ms,48.999 ms,106.27000000000001 ms,73
