observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T20:08:12.148101Z,2025-04-20T20:08:12.218123Z,70.022 ms,85.17722222222221 ms,57.041000000000004 ms,444.538 ms,45
2025-04-20T20:08:12.203451Z,2025-04-20T20:08:12.260742Z,57.291000000000004 ms,84.571 ms,57.041000000000004 ms,444.538 ms,46
2025-04-20T20:08:12.249051Z,2025-04-20T20:08:12.306350Z,57.299 ms,83.99074468085105 ms,57.041000000000004 ms,444.538 ms,47
2025-04-20T20:08:12.293794Z,2025-04-20T20:08:12.351221Z,57.427 ms,83.43733333333333 ms,57.041000000000004 ms,444.538 ms,48
2025-04-20T20:08:12.338690Z,2025-04-20T20:08:12.397417Z,58.727000000000004 ms,82.93304081632654 ms,57.041000000000004 ms,444.538 ms,49
2025-04-20T20:08:12.385758Z,2025-04-20T20:08:12.442636Z,56.878 ms,82.41194 ms,56.878 ms,444.538 ms,50
2025-04-20T20:08:12.430111Z,2025-04-20T20:08:12.490254Z,60.143 ms,81.97529411764707 ms,56.878 ms,444.538 ms,51
2025-04-20T20:08:12.478863Z,2025-04-20T20:08:12.540618Z,61.754999999999995 ms,81.58644230769231 ms,56.878 ms,444.538 ms,52
2025-04-20T20:08:12.527859Z,2025-04-20T20:08:12.586622Z,58.763000000000005 ms,81.15581132075471 ms,56.878 ms,444.538 ms,53
2025-04-20T20:08:12.573972Z,2025-04-20T20:08:12.635925Z,61.953 ms,80.80020370370369 ms,56.878 ms,444.538 ms,54
2025-04-20T20:08:12.618170Z,2025-04-20T20:08:12.674975Z,56.805 ms,80.36392727272725 ms,56.805 ms,444.538 ms,55
2025-04-20T20:08:12.662200Z,2025-04-20T20:08:12.741835Z,79.63499999999999 ms,80.3509107142857 ms,56.805 ms,444.538 ms,56
2025-04-20T20:08:12.727853Z,2025-04-20T20:08:12.787034Z,59.181 ms,79.9795087719298 ms,56.805 ms,444.538 ms,57
2025-04-20T20:08:12.774607Z,2025-04-20T20:08:12.841064Z,66.45700000000001 ms,79.74636206896548 ms,56.805 ms,444.538 ms,58
2025-04-20T20:08:12.819873Z,2025-04-20T20:08:12.881980Z,62.107 ms,79.44738983050846 ms,56.805 ms,444.538 ms,59
2025-04-20T20:08:12.864975Z,2025-04-20T20:08:12.920878Z,55.903 ms,79.05498333333331 ms,55.903 ms,444.538 ms,60
2025-04-20T20:08:12.908140Z,2025-04-20T20:08:12.963672Z,55.532 ms,78.66936065573769 ms,55.532 ms,444.538 ms,61
2025-04-20T20:08:12.950831Z,2025-04-20T20:08:13.013191Z,62.36 ms,78.40630645161288 ms,55.532 ms,444.538 ms,62
2025-04-20T20:08:12.994760Z,2025-04-20T20:08:13.052240Z,57.480000000000004 ms,78.07414285714285 ms,55.532 ms,444.538 ms,63
2025-04-20T20:08:13.037570Z,2025-04-20T20:08:13.095627Z,58.056999999999995 ms,77.76137499999999 ms,55.532 ms,444.538 ms,64
2025-04-20T20:08:13.081417Z,2025-04-20T20:08:13.137418Z,56.001000000000005 ms,77.42659999999998 ms,55.532 ms,444.538 ms,65
2025-04-20T20:08:13.123756Z,2025-04-20T20:08:13.212129Z,88.37299999999999 ms,77.59245454545452 ms,55.532 ms,444.538 ms,66
2025-04-20T20:08:13.184849Z,2025-04-20T20:08:13.249770Z,64.921 ms,77.40332835820894 ms,55.532 ms,444.538 ms,67
2025-04-20T20:08:13.227824Z,2025-04-20T20:08:13.287600Z,59.776 ms,77.14410294117646 ms,55.532 ms,444.538 ms,68
2025-04-20T20:08:13.270574Z,2025-04-20T20:08:13.326091Z,55.516999999999996 ms,76.83066666666666 ms,55.516999999999996 ms,444.538 ms,69
2025-04-20T20:08:13.312903Z,2025-04-20T20:08:13.371983Z,59.08 ms,76.5770857142857 ms,55.516999999999996 ms,444.538 ms,70
2025-04-20T20:08:13.355156Z,2025-04-20T20:08:13.410904Z,55.748 ms,76.28371830985914 ms,55.516999999999996 ms,444.538 ms,71
2025-04-20T20:08:13.398516Z,2025-04-20T20:08:13.453206Z,54.690000000000005 ms,75.98380555555555 ms,54.690000000000005 ms,444.538 ms,72
2025-04-20T20:08:13.441192Z,2025-04-20T20:08:13.495112Z,53.92 ms,75.68156164383561 ms,53.92 ms,444.538 ms,73
2025-04-20T20:08:13.482614Z,2025-04-20T20:08:13.540512Z,57.897999999999996 ms,75.44124324324322 ms,53.92 ms,444.538 ms,74
2025-04-20T20:08:13.524316Z,2025-04-20T20:08:13.579400Z,55.084 ms,75.16981333333331 ms,53.92 ms,444.538 ms,75
2025-04-20T20:08:13.566326Z,2025-04-20T20:08:13.642077Z,75.751 ms,75.17746052631577 ms,53.92 ms,444.538 ms,76
2025-04-20T20:08:13.625412Z,2025-04-20T20:08:13.681686Z,56.274 ms,74.93196103896102 ms,53.92 ms,444.538 ms,77
2025-04-20T20:08:13.669421Z,2025-04-20T20:08:13.731583Z,62.162 ms,74.76824358974358 ms,53.92 ms,444.538 ms,78
2025-04-20T20:08:13.717385Z,2025-04-20T20:08:13.774740Z,57.355000000000004 ms,74.54782278481012 ms,53.92 ms,444.538 ms,79
2025-04-20T20:08:13.759473Z,2025-04-20T20:08:13.815029Z,55.556000000000004 ms,74.31042499999998 ms,53.92 ms,444.538 ms,80
2025-04-20T20:08:13.802682Z,2025-04-20T20:08:13.856938Z,54.256 ms,74.06283950617284 ms,53.92 ms,444.538 ms,81
2025-04-20T20:08:13.844677Z,2025-04-20T20:08:13.897869Z,53.192 ms,73.80831707317071 ms,53.192 ms,444.538 ms,82
2025-04-20T20:08:13.885626Z,2025-04-20T20:08:13.942279Z,56.653 ms,73.60162650602409 ms,53.192 ms,444.538 ms,83
2025-04-20T20:08:13.928569Z,2025-04-20T20:08:13.983416Z,54.847 ms,73.37835714285713 ms,53.192 ms,444.538 ms,84
2025-04-20T20:08:13.970759Z,2025-04-20T20:08:14.024347Z,53.587999999999994 ms,73.1455294117647 ms,53.192 ms,444.538 ms,85
2025-04-20T20:08:14.011890Z,2025-04-20T20:08:14.073338Z,61.448 ms,73.00951162790697 ms,53.192 ms,444.538 ms,86
2025-04-20T20:08:14.060700Z,2025-04-20T20:08:14.119990Z,59.29 ms,72.85181609195402 ms,53.192 ms,444.538 ms,87
2025-04-20T20:08:14.102766Z,2025-04-20T20:08:14.159283Z,56.516999999999996 ms,72.66619318181817 ms,53.192 ms,444.538 ms,88
2025-04-20T20:08:14.144129Z,2025-04-20T20:08:14.197669Z,53.54 ms,72.45129213483145 ms,53.192 ms,444.538 ms,89
2025-04-20T20:08:14.186003Z,2025-04-20T20:08:14.239211Z,53.208 ms,72.23747777777777 ms,53.192 ms,444.538 ms,90
2025-04-20T20:08:14.226951Z,2025-04-20T20:08:14.283581Z,56.63 ms,72.06596703296702 ms,53.192 ms,444.538 ms,91
2025-04-20T20:08:14.267364Z,2025-04-20T20:08:14.322472Z,55.108 ms,71.88164130434782 ms,53.192 ms,444.538 ms,92
2025-04-20T20:08:14.308532Z,2025-04-20T20:08:14.359745Z,51.213 ms,71.65939784946235 ms,51.213 ms,444.538 ms,93
2025-04-20T20:08:14.346225Z,2025-04-20T20:08:14.400078Z,53.853 ms,71.46996808510637 ms,51.213 ms,444.538 ms,94
2025-04-20T20:08:14.387294Z,2025-04-20T20:08:14.445046Z,57.751999999999995 ms,71.32556842105261 ms,51.213 ms,444.538 ms,95
2025-04-20T20:08:14.426473Z,2025-04-20T20:08:14.483287Z,56.814 ms,71.17440624999999 ms,51.213 ms,444.538 ms,96
2025-04-20T20:08:14.467233Z,2025-04-20T20:08:14.530935Z,63.702 ms,71.0973711340206 ms,51.213 ms,444.538 ms,97
2025-04-20T20:08:14.518803Z,2025-04-20T20:08:14.570334Z,51.531 ms,70.89771428571427 ms,51.213 ms,444.538 ms,98
2025-04-20T20:08:14.558431Z,2025-04-20T20:08:14.614138Z,55.707 ms,70.74427272727272 ms,51.213 ms,444.538 ms,99
2025-04-20T20:08:14.597406Z,2025-04-20T20:08:14.652320Z,54.913999999999994 ms,70.58596999999999 ms,51.213 ms,444.538 ms,100
2025-04-20T20:08:14.638191Z,2025-04-20T20:08:14.693069Z,54.878 ms,70.43044554455444 ms,51.213 ms,444.538 ms,101
2025-04-20T20:08:14.676847Z,2025-04-20T20:08:14.728998Z,52.151 ms,70.25123529411765 ms,51.213 ms,444.538 ms,102
2025-04-20T20:08:14.714174Z,2025-04-20T20:08:14.769071Z,54.897 ms,70.1021650485437 ms,51.213 ms,444.538 ms,103
2025-04-20T20:08:14.752654Z,2025-04-20T20:08:14.806350Z,53.696 ms,69.94441346153847 ms,51.213 ms,444.538 ms,104
2025-04-20T20:08:14.790996Z,2025-04-20T20:08:14.842812Z,51.816 ms,69.7717619047619 ms,51.213 ms,444.538 ms,105
2025-04-20T20:08:14.828793Z,2025-04-20T20:08:14.879203Z,50.410000000000004 ms,69.58910377358491 ms,50.410000000000004 ms,444.538 ms,106
2025-04-20T20:08:14.865561Z,2025-04-20T20:08:14.934032Z,68.471 ms,69.57865420560748 ms,50.410000000000004 ms,444.538 ms,107
