current_time,start_time,throughput_records,throughput_bytes,throughput_interval
2025-04-07 13:49:43.826148+00:00,2025-04-07 13:49:44.826413+00:00,702.8129688153992,953609.2274155947,1.0002661180042196
2025-04-07 13:49:44.826413+00:00,2025-04-07 13:49:45.827033+00:00,932.421450228456,1265187.9749304063,1.0006204809760675
2025-04-07 13:49:45.827033+00:00,2025-04-07 13:49:46.827230+00:00,933.8160130098862,1267080.3509291424,1.0001970270241145
2025-04-07 13:49:46.827230+00:00,2025-04-07 13:49:47.827511+00:00,932.737681518679,1265617.0641856876,1.0002812349994201
2025-04-07 13:49:47.827511+00:00,2025-04-07 13:49:48.828146+00:00,1026.3482165450177,1392659.5901431453,1.0006350509938784
2025-04-07 13:49:48.828146+00:00,2025-04-07 13:49:49.828573+00:00,936.6006082166119,1270859.0713844276,1.0004264269955456
2025-04-07 13:49:49.828573+00:00,2025-04-07 13:49:50.829218+00:00,976.37001873316,1324826.185060588,1.0006452279922087
2025-04-07 13:49:50.829218+00:00,2025-04-07 13:49:51.829985+00:00,997.2355281958487,1353177.6661480372,1.000766591023421
2025-04-07 13:49:51.829985+00:00,2025-04-07 13:49:52.830082+00:00,1008.9017894751194,1368971.7388298644,1.0000973439891823
2025-04-07 13:49:52.830082+00:00,2025-04-07 13:49:53.830289+00:00,1095.7725899294867,1486951.4070242047,1.0002075340016745
2025-04-07 13:49:53.830289+00:00,2025-04-07 13:49:54.830306+00:00,1099.9811914269335,1492672.476800546,1.0000170989951584
2025-04-07 13:49:54.830306+00:00,2025-04-07 13:49:55.830509+00:00,1114.7750339274257,1512756.7196271739,1.0002018040104304
2025-04-07 13:49:55.830509+00:00,2025-04-07 13:49:56.830668+00:00,1119.8207995727648,1519605.8235802385,1.0001600259856787
2025-04-07 13:49:56.830668+00:00,2025-04-07 13:49:57.831302+00:00,1121.2897705650682,1521602.2110607608,1.0006334040081128
2025-04-07 13:49:57.831302+00:00,2025-04-07 13:49:58.831883+00:00,1082.371541537289,1468755.1952128645,1.000580630992772
2025-04-07 13:49:58.831883+00:00,2025-04-07 13:49:59.832637+00:00,1077.1875582035873,1461720.5338163693,1.0007542250095867
2025-04-07 13:49:59.832637+00:00,2025-04-07 13:50:00.833158+00:00,1132.4099306380317,1536698.266501362,1.0005210739909671
2025-04-07 13:50:00.833158+00:00,2025-04-07 13:50:01.833785+00:00,1112.3029319903824,1509405.0724479838,1.0006266889977269
2025-04-07 13:50:01.833785+00:00,2025-04-07 13:50:02.834065+00:00,1127.6838030947702,1530289.9143523257,1.0002803950046655
2025-04-07 13:50:02.834065+00:00,2025-04-07 13:50:03.834555+00:00,1081.4701272214604,1467518.9802693,1.0004899560008198
2025-04-07 13:50:03.834555+00:00,2025-04-07 13:50:04.834615+00:00,1122.9320603609133,1523847.8041553074,1.0000605020031799
2025-04-07 13:50:04.834615+00:00,2025-04-07 13:50:05.835493+00:00,1131.0078211335706,1534797.5957485933,1.0008772519940976
2025-04-07 13:50:05.835493+00:00,2025-04-07 13:50:06.836275+00:00,1129.1165194040457,1532228.1035399889,1.0007824529893696
2025-04-07 13:50:06.836275+00:00,2025-04-07 13:50:07.836315+00:00,1146.954471636057,1556451.2166605527,1.0000396950053982
2025-04-07 13:50:07.836315+00:00,2025-04-07 13:50:08.837055+00:00,1142.1709163841106,1549971.9001667933,1.00072588401963
2025-04-07 13:50:08.837055+00:00,2025-04-07 13:50:09.837248+00:00,1119.7674489600072,1519552.422424954,1.0002076779783238
2025-04-07 13:50:09.837248+00:00,2025-04-07 13:50:10.837885+00:00,1134.2774255779277,1539220.4626894712,1.0006370350020006
2025-04-07 13:50:10.837885+00:00,2025-04-07 13:50:11.838818+00:00,1143.9337027779245,1552355.9992816136,1.0009321320103481
2025-04-07 13:50:11.838818+00:00,2025-04-07 13:50:12.839107+00:00,1126.673324451582,1528914.6957734006,1.0002899469982367
2025-04-07 13:50:12.839107+00:00,2025-04-07 13:50:13.839171+00:00,1148.9265284647206,1559137.2963130944,1.0000639479840174
2025-04-07 13:50:13.839171+00:00,2025-04-07 13:50:14.839177+00:00,1025.9944257561172,1392238.4359466385,1.0000054330157582
2025-04-07 13:50:14.839177+00:00,2025-04-07 13:50:15.839355+00:00,1126.7996358559476,1529046.1095900142,1.0001778170117177
2025-04-07 13:50:15.839355+00:00,2025-04-07 13:50:16.840086+00:00,1123.177793435056,1524166.2554503637,1.000732035987312
2025-04-07 13:50:16.840086+00:00,2025-04-07 13:50:17.840193+00:00,1119.8802265614675,1519697.4653050997,1.0001069520076271
2025-04-07 13:50:17.840193+00:00,2025-04-07 13:50:18.840843+00:00,1140.2591109348468,1547357.5966559267,1.0006497550057247
2025-04-07 13:50:18.840843+00:00,2025-04-07 13:50:19.840930+00:00,1117.9038837727276,1517021.5680443302,1.0000859789724927
2025-04-07 13:50:19.840930+00:00,2025-04-07 13:50:20.841109+00:00,1127.797397958969,1530430.0674138153,1.0001796440046746
2025-04-07 13:50:20.841109+00:00,2025-04-07 13:50:21.841979+00:00,1127.0198544968168,1529394.9173534042,1.0008696790027898
2025-04-07 13:50:21.841979+00:00,2025-04-07 13:50:22.842746+00:00,1119.141525567219,1518684.0432962612,1.000767082994571
2025-04-07 13:50:22.842746+00:00,2025-04-07 13:50:23.843003+00:00,1127.7099822918465,1530314.442884741,1.0002571740187705
2025-04-07 13:50:23.843003+00:00,2025-04-07 13:50:24.843171+00:00,1113.812929544802,1511468.1413620533,1.0001679550041445
