observed_at,notified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T19:29:57.794108Z,2025-04-20T19:29:57.906652Z,112.54400000000001 ms,314.9064444444444 ms,106.961 ms,731.082 ms,45
2025-04-20T19:29:57.858879Z,2025-04-20T19:29:57.944000Z,85.12100000000001 ms,309.91110869565216 ms,85.12100000000001 ms,731.082 ms,46
2025-04-20T19:29:57.913808Z,2025-04-20T19:29:58.000335Z,86.527 ms,305.15825531914885 ms,85.12100000000001 ms,731.082 ms,47
2025-04-20T19:29:57.963472Z,2025-04-20T19:29:58.062421Z,98.949 ms,300.8622291666666 ms,85.12100000000001 ms,731.082 ms,48
2025-04-20T19:29:58.013230Z,2025-04-20T19:29:58.112345Z,99.115 ms,296.7449387755101 ms,85.12100000000001 ms,731.082 ms,49
2025-04-20T19:29:58.082706Z,2025-04-20T19:29:58.192344Z,109.638 ms,293.0028 ms,85.12100000000001 ms,731.082 ms,50
2025-04-20T19:29:58.133864Z,2025-04-20T19:29:58.232501Z,98.637 ms,289.1917058823529 ms,85.12100000000001 ms,731.082 ms,51
2025-04-20T19:29:58.194396Z,2025-04-20T19:29:58.279356Z,84.96 ms,285.26417307692304 ms,84.96 ms,731.082 ms,52
2025-04-20T19:29:58.242188Z,2025-04-20T19:29:58.318819Z,76.631 ms,281.32769811320753 ms,76.631 ms,731.082 ms,53
2025-04-20T19:29:58.287716Z,2025-04-20T19:29:58.364164Z,76.44800000000001 ms,277.53362962962956 ms,76.44800000000001 ms,731.082 ms,54
2025-04-20T19:29:58.334563Z,2025-04-20T19:29:58.431905Z,97.342 ms,274.25741818181814 ms,76.44800000000001 ms,731.082 ms,55
2025-04-20T19:29:58.382835Z,2025-04-20T19:29:58.486604Z,103.769 ms,271.21298214285713 ms,76.44800000000001 ms,731.082 ms,56
2025-04-20T19:29:58.440239Z,2025-04-20T19:29:58.515188Z,74.949 ms,267.76975438596486 ms,74.949 ms,731.082 ms,57
2025-04-20T19:29:58.488667Z,2025-04-20T19:29:58.560286Z,71.619 ms,264.38784482758615 ms,71.619 ms,731.082 ms,58
2025-04-20T19:29:58.533872Z,2025-04-20T19:29:58.659280Z,125.40799999999999 ms,262.0322542372881 ms,71.619 ms,731.082 ms,59
2025-04-20T19:29:58.613925Z,2025-04-20T19:29:58.695844Z,81.91900000000001 ms,259.0303666666666 ms,71.619 ms,731.082 ms,60
2025-04-20T19:29:58.668222Z,2025-04-20T19:29:58.739086Z,70.86399999999999 ms,255.9456721311475 ms,70.86399999999999 ms,731.082 ms,61
2025-04-20T19:29:58.715770Z,2025-04-20T19:29:58.793571Z,77.801 ms,253.07237096774188 ms,70.86399999999999 ms,731.082 ms,62
2025-04-20T19:29:58.762148Z,2025-04-20T19:29:58.834593Z,72.445 ms,250.2052698412698 ms,70.86399999999999 ms,731.082 ms,63
2025-04-20T19:29:58.809568Z,2025-04-20T19:29:58.879463Z,69.895 ms,247.38792187499993 ms,69.895 ms,731.082 ms,64
2025-04-20T19:29:58.853192Z,2025-04-20T19:29:58.926879Z,73.687 ms,244.71559999999994 ms,69.895 ms,731.082 ms,65
2025-04-20T19:29:58.898941Z,2025-04-20T19:29:58.979118Z,80.17699999999999 ms,242.22259090909088 ms,69.895 ms,731.082 ms,66
2025-04-20T19:29:58.943816Z,2025-04-20T19:29:59.044239Z,100.423 ms,240.10617910447755 ms,69.895 ms,731.082 ms,67
2025-04-20T19:29:58.991817Z,2025-04-20T19:29:59.084606Z,92.789 ms,237.93974999999995 ms,69.895 ms,731.082 ms,68
2025-04-20T19:29:59.044370Z,2025-04-20T19:29:59.136177Z,91.807 ms,235.82188405797095 ms,69.895 ms,731.082 ms,69
2025-04-20T19:29:59.090473Z,2025-04-20T19:29:59.198352Z,107.879 ms,233.99412857142852 ms,69.895 ms,731.082 ms,70
2025-04-20T19:29:59.160714Z,2025-04-20T19:29:59.231943Z,71.229 ms,231.7016619718309 ms,69.895 ms,731.082 ms,71
2025-04-20T19:29:59.206766Z,2025-04-20T19:29:59.280127Z,73.36099999999999 ms,229.502486111111 ms,69.895 ms,731.082 ms,72
2025-04-20T19:29:59.248815Z,2025-04-20T19:29:59.311497Z,62.682 ms,227.21727397260264 ms,62.682 ms,731.082 ms,73
2025-04-20T19:29:59.290716Z,2025-04-20T19:29:59.357762Z,67.04599999999999 ms,225.05279729729722 ms,62.682 ms,731.082 ms,74
