observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-26T09:59:56.168885Z,2025-04-26T09:59:56.175000Z,6.115 ms,16.48256818181818 ms,5.695 ms,40.558 ms,44
2025-04-26T09:59:56.230727Z,2025-04-26T09:59:56.239000Z,8.273000000000001 ms,16.300133333333335 ms,5.695 ms,40.558 ms,45
2025-04-26T09:59:56.307956Z,2025-04-26T09:59:56.315000Z,7.044 ms,16.098913043478262 ms,5.695 ms,40.558 ms,46
2025-04-26T09:59:56.369740Z,2025-04-26T09:59:56.377000Z,7.26 ms,15.910851063829789 ms,5.695 ms,40.558 ms,47
2025-04-26T09:59:56.420454Z,2025-04-26T09:59:56.427000Z,6.545999999999999 ms,15.715750000000003 ms,5.695 ms,40.558 ms,48
2025-04-26T09:59:56.469652Z,2025-04-26T09:59:56.483000Z,13.348 ms,15.667428571428575 ms,5.695 ms,40.558 ms,49
2025-04-26T09:59:56.521207Z,2025-04-26T09:59:56.530000Z,8.793000000000001 ms,15.529940000000003 ms,5.695 ms,40.558 ms,50
2025-04-26T09:59:56.567949Z,2025-04-26T09:59:56.577000Z,9.051 ms,15.402901960784318 ms,5.695 ms,40.558 ms,51
2025-04-26T09:59:56.614020Z,2025-04-26T09:59:56.620000Z,5.98 ms,15.221692307692313 ms,5.695 ms,40.558 ms,52
2025-04-26T09:59:56.657450Z,2025-04-26T09:59:56.663000Z,5.55 ms,15.039207547169816 ms,5.55 ms,40.558 ms,53
2025-04-26T09:59:56.702010Z,2025-04-26T09:59:56.707000Z,4.989999999999999 ms,14.853111111111117 ms,4.989999999999999 ms,40.558 ms,54
2025-04-26T09:59:56.743552Z,2025-04-26T09:59:56.762000Z,18.448 ms,14.918472727272734 ms,4.989999999999999 ms,40.558 ms,55
2025-04-26T09:59:56.808270Z,2025-04-26T09:59:56.814000Z,5.7299999999999995 ms,14.754392857142863 ms,4.989999999999999 ms,40.558 ms,56
2025-04-26T09:59:56.859663Z,2025-04-26T09:59:56.866000Z,6.337 ms,14.606719298245622 ms,4.989999999999999 ms,40.558 ms,57
2025-04-26T09:59:56.903129Z,2025-04-26T09:59:56.908000Z,4.871 ms,14.438862068965523 ms,4.871 ms,40.558 ms,58
2025-04-26T09:59:56.945682Z,2025-04-26T09:59:56.951000Z,5.318 ms,14.284271186440685 ms,4.871 ms,40.558 ms,59
2025-04-26T09:59:56.986220Z,2025-04-26T09:59:56.992000Z,5.78 ms,14.14253333333334 ms,4.871 ms,40.558 ms,60
2025-04-26T09:59:57.028423Z,2025-04-26T09:59:57.034000Z,5.577 ms,14.002114754098368 ms,4.871 ms,40.558 ms,61
2025-04-26T09:59:59.848646Z,2025-04-26T09:59:59.854000Z,5.354 ms,13.86262903225807 ms,4.871 ms,40.558 ms,62
2025-04-26T09:59:59.891614Z,2025-04-26T09:59:59.897000Z,5.386 ms,13.728079365079372 ms,4.871 ms,40.558 ms,63
2025-04-26T09:59:59.937848Z,2025-04-26T09:59:59.944000Z,6.152 ms,13.609703125000008 ms,4.871 ms,40.558 ms,64
2025-04-26T09:59:59.982963Z,2025-04-26T09:59:59.992000Z,9.036999999999999 ms,13.539353846153853 ms,4.871 ms,40.558 ms,65
2025-04-26T10:00:00.042834Z,2025-04-26T10:00:00.050000Z,7.1659999999999995 ms,13.442787878787886 ms,4.871 ms,40.558 ms,66
2025-04-26T10:00:00.089663Z,2025-04-26T10:00:00.097000Z,7.337 ms,13.351656716417917 ms,4.871 ms,40.558 ms,67
2025-04-26T10:00:00.139321Z,2025-04-26T10:00:00.145000Z,5.679 ms,13.238823529411771 ms,4.871 ms,40.558 ms,68
