observed_at,modified_at,evaluation_time,mean_evaluation_time,min_evaluation_time,max_evaluation_time,notifications_received
2025-04-20T19:29:57.738213Z,2025-04-20T19:29:57.830000Z,91.78699999999999 ms,289.43704545454534 ms,91.78699999999999 ms,596.146 ms,44
2025-04-20T19:29:57.794108Z,2025-04-20T19:29:57.895000Z,100.892 ms,285.2471555555554 ms,91.78699999999999 ms,596.146 ms,45
2025-04-20T19:29:57.858879Z,2025-04-20T19:29:57.936000Z,77.121 ms,280.72267391304337 ms,77.121 ms,596.146 ms,46
2025-04-20T19:29:57.913808Z,2025-04-20T19:29:57.991000Z,77.192 ms,276.39223404255307 ms,77.121 ms,596.146 ms,47
2025-04-20T19:29:57.963472Z,2025-04-20T19:29:58.037000Z,73.52799999999999 ms,272.16589583333325 ms,73.52799999999999 ms,596.146 ms,48
2025-04-20T19:29:58.013230Z,2025-04-20T19:29:58.103000Z,89.77 ms,268.4435306122448 ms,73.52799999999999 ms,596.146 ms,49
2025-04-20T19:29:58.082706Z,2025-04-20T19:29:58.167000Z,84.294 ms,264.7605399999999 ms,73.52799999999999 ms,596.146 ms,50
2025-04-20T19:29:58.133864Z,2025-04-20T19:29:58.219000Z,85.13600000000001 ms,261.2384901960783 ms,73.52799999999999 ms,596.146 ms,51
2025-04-20T19:29:58.194396Z,2025-04-20T19:29:58.271000Z,76.604 ms,257.6878269230768 ms,73.52799999999999 ms,596.146 ms,52
2025-04-20T19:29:58.242188Z,2025-04-20T19:29:58.309000Z,66.812 ms,254.086396226415 ms,66.812 ms,596.146 ms,53
2025-04-20T19:29:58.287716Z,2025-04-20T19:29:58.353000Z,65.28399999999999 ms,250.59005555555547 ms,65.28399999999999 ms,596.146 ms,54
2025-04-20T19:29:58.334563Z,2025-04-20T19:29:58.422000Z,87.437 ms,247.62363636363625 ms,65.28399999999999 ms,596.146 ms,55
2025-04-20T19:29:58.382835Z,2025-04-20T19:29:58.476000Z,93.16499999999999 ms,244.86544642857132 ms,65.28399999999999 ms,596.146 ms,56
2025-04-20T19:29:58.440239Z,2025-04-20T19:29:58.507000Z,66.761 ms,241.74080701754374 ms,65.28399999999999 ms,596.146 ms,57
2025-04-20T19:29:58.488667Z,2025-04-20T19:29:58.550000Z,61.333 ms,238.6303275862068 ms,61.333 ms,596.146 ms,58
2025-04-20T19:29:58.533872Z,2025-04-20T19:29:58.638000Z,104.128 ms,236.35062711864393 ms,61.333 ms,596.146 ms,59
2025-04-20T19:29:58.613925Z,2025-04-20T19:29:58.687000Z,73.075 ms,233.62936666666653 ms,61.333 ms,596.146 ms,60
2025-04-20T19:29:58.668222Z,2025-04-20T19:29:58.730000Z,61.778 ms,230.81213114754087 ms,61.333 ms,596.146 ms,61
2025-04-20T19:29:58.715770Z,2025-04-20T19:29:58.786000Z,70.23 ms,228.22209677419343 ms,61.333 ms,596.146 ms,62
2025-04-20T19:29:58.762148Z,2025-04-20T19:29:58.827000Z,64.852 ms,225.62892063492052 ms,61.333 ms,596.146 ms,63
2025-04-20T19:29:58.809568Z,2025-04-20T19:29:58.870000Z,60.432 ms,223.0477187499999 ms,60.432 ms,596.146 ms,64
2025-04-20T19:29:58.853192Z,2025-04-20T19:29:58.918000Z,64.808 ms,220.61326153846142 ms,60.432 ms,596.146 ms,65
2025-04-20T19:29:58.898941Z,2025-04-20T19:29:58.970000Z,71.059 ms,218.34728787878777 ms,60.432 ms,596.146 ms,66
2025-04-20T19:29:58.943816Z,2025-04-20T19:29:59.019000Z,75.184 ms,216.2105223880596 ms,60.432 ms,596.146 ms,67
2025-04-20T19:29:58.991817Z,2025-04-20T19:29:59.070000Z,78.183 ms,214.18070588235284 ms,60.432 ms,596.146 ms,68
2025-04-20T19:29:59.044370Z,2025-04-20T19:29:59.123000Z,78.63000000000001 ms,212.21620289855062 ms,60.432 ms,596.146 ms,69
2025-04-20T19:29:59.090473Z,2025-04-20T19:29:59.187000Z,96.527 ms,210.5634999999999 ms,60.432 ms,596.146 ms,70
2025-04-20T19:29:59.160714Z,2025-04-20T19:29:59.221000Z,60.286 ms,208.44691549295763 ms,60.286 ms,596.146 ms,71
2025-04-20T19:29:59.206766Z,2025-04-20T19:29:59.270000Z,63.234 ms,206.43006944444434 ms,60.286 ms,596.146 ms,72
2025-04-20T19:29:59.248815Z,2025-04-20T19:29:59.304000Z,55.184999999999995 ms,204.3582191780821 ms,55.184999999999995 ms,596.146 ms,73
2025-04-20T19:29:59.290716Z,2025-04-20T19:29:59.349000Z,58.284000000000006 ms,202.38424324324313 ms,55.184999999999995 ms,596.146 ms,74
2025-04-20T19:29:59.333588Z,2025-04-20T19:29:59.392000Z,58.412 ms,200.46461333333323 ms,55.184999999999995 ms,596.146 ms,75
2025-04-20T19:29:59.376622Z,2025-04-20T19:29:59.442000Z,65.378 ms,198.68715789473677 ms,55.184999999999995 ms,596.146 ms,76
2025-04-20T19:29:59.422158Z,2025-04-20T19:29:59.480000Z,57.842 ms,196.85799999999992 ms,55.184999999999995 ms,596.146 ms,77
2025-04-20T19:29:59.466982Z,2025-04-20T19:29:59.527000Z,60.018 ms,195.10364102564097 ms,55.184999999999995 ms,596.146 ms,78
2025-04-20T19:29:59.509437Z,2025-04-20T19:29:59.573000Z,63.562999999999995 ms,193.4385696202531 ms,55.184999999999995 ms,596.146 ms,79
2025-04-20T19:29:59.557849Z,2025-04-20T19:29:59.654000Z,96.151 ms,192.22247499999995 ms,55.184999999999995 ms,596.146 ms,80
2025-04-20T19:29:59.630223Z,2025-04-20T19:29:59.704000Z,73.777 ms,190.76018518518512 ms,55.184999999999995 ms,596.146 ms,81
2025-04-20T19:29:59.683223Z,2025-04-20T19:29:59.753000Z,69.777 ms,189.28478048780482 ms,55.184999999999995 ms,596.146 ms,82
2025-04-20T19:29:59.733702Z,2025-04-20T19:29:59.804000Z,70.298 ms,187.85120481927703 ms,55.184999999999995 ms,596.146 ms,83
2025-04-20T19:29:59.792226Z,2025-04-20T19:29:59.852000Z,59.774 ms,186.32647619047611 ms,55.184999999999995 ms,596.146 ms,84
2025-04-20T19:29:59.834283Z,2025-04-20T19:29:59.888000Z,53.717 ms,184.76636470588232 ms,53.717 ms,596.146 ms,85
2025-04-20T19:29:59.875939Z,2025-04-20T19:29:59.930000Z,54.061 ms,183.2465348837209 ms,53.717 ms,596.146 ms,86
2025-04-20T19:29:59.917666Z,2025-04-20T19:29:59.972000Z,54.334 ms,181.76478160919538 ms,53.717 ms,596.146 ms,87
2025-04-20T19:29:59.960056Z,2025-04-20T19:30:00.014000Z,53.943999999999996 ms,180.31227272727267 ms,53.717 ms,596.146 ms,88
2025-04-20T19:30:00.002051Z,2025-04-20T19:30:00.052000Z,49.949 ms,178.84751685393255 ms,49.949 ms,596.146 ms,89
2025-04-20T19:30:06.813305Z,2025-04-20T19:30:06.872000Z,58.695 ms,177.51248888888884 ms,49.949 ms,596.146 ms,90
2025-04-20T19:30:06.858084Z,2025-04-20T19:30:06.918000Z,59.916 ms,176.22021978021974 ms,49.949 ms,596.146 ms,91
2025-04-20T19:30:06.903296Z,2025-04-20T19:30:06.961000Z,57.704 ms,174.932 ms,49.949 ms,596.146 ms,92
2025-04-20T19:30:06.946109Z,2025-04-20T19:30:07.005000Z,58.891 ms,173.6842473118279 ms,49.949 ms,596.146 ms,93
2025-04-20T19:30:06.989817Z,2025-04-20T19:30:07.048000Z,58.183 ms,172.45551063829782 ms,49.949 ms,596.146 ms,94
2025-04-20T19:30:07.035012Z,2025-04-20T19:30:07.093000Z,57.988 ms,171.2505894736842 ms,49.949 ms,596.146 ms,95
2025-04-20T19:30:07.078320Z,2025-04-20T19:30:07.134000Z,55.68 ms,170.04672916666664 ms,49.949 ms,596.146 ms,96
2025-04-20T19:30:07.120879Z,2025-04-20T19:30:07.175000Z,54.121 ms,168.85161855670097 ms,49.949 ms,596.146 ms,97
2025-04-20T19:30:07.161881Z,2025-04-20T19:30:07.216000Z,54.119 ms,167.68087755102036 ms,49.949 ms,596.146 ms,98
2025-04-20T19:30:07.204486Z,2025-04-20T19:30:07.259000Z,54.514 ms,166.53777777777773 ms,49.949 ms,596.146 ms,99
2025-04-20T19:30:07.245678Z,2025-04-20T19:30:07.319000Z,73.322 ms,165.60562 ms,49.949 ms,596.146 ms,100
2025-04-20T19:30:07.306571Z,2025-04-20T19:30:07.371000Z,64.429 ms,164.6038712871287 ms,49.949 ms,596.146 ms,101
2025-04-20T19:30:07.349276Z,2025-04-20T19:30:07.424000Z,74.724 ms,163.72269607843134 ms,49.949 ms,596.146 ms,102
2025-04-20T19:30:07.396559Z,2025-04-20T19:30:07.469000Z,72.441 ms,162.83646601941746 ms,49.949 ms,596.146 ms,103
2025-04-20T19:30:07.451987Z,2025-04-20T19:30:07.515000Z,63.013 ms,161.876625 ms,49.949 ms,596.146 ms,104
2025-04-20T19:30:07.502760Z,2025-04-20T19:30:07.555000Z,52.24 ms,160.83246666666668 ms,49.949 ms,596.146 ms,105
2025-04-20T19:30:07.542904Z,2025-04-20T19:30:07.597000Z,54.096 ms,159.82551886792456 ms,49.949 ms,596.146 ms,106
2025-04-20T19:30:07.583805Z,2025-04-20T19:30:07.636000Z,52.195 ms,158.81962616822435 ms,49.949 ms,596.146 ms,107
2025-04-20T19:30:07.624948Z,2025-04-20T19:30:07.681000Z,56.052 ms,157.86807407407414 ms,49.949 ms,596.146 ms,108
2025-04-20T19:30:07.668054Z,2025-04-20T19:30:07.725000Z,56.946 ms,156.94218348623858 ms,49.949 ms,596.146 ms,109
2025-04-20T19:30:07.713926Z,2025-04-20T19:30:07.793000Z,79.07400000000001 ms,156.23429090909093 ms,49.949 ms,596.146 ms,110
2025-04-20T19:30:07.778574Z,2025-04-20T19:30:07.844000Z,65.426 ms,155.4161981981982 ms,49.949 ms,596.146 ms,111
2025-04-20T19:30:07.823152Z,2025-04-20T19:30:07.891000Z,67.848 ms,154.63433928571433 ms,49.949 ms,596.146 ms,112
2025-04-20T19:30:07.868323Z,2025-04-20T19:30:07.952000Z,83.677 ms,154.00639823008854 ms,49.949 ms,596.146 ms,113
2025-04-20T19:30:07.917350Z,2025-04-20T19:30:07.998000Z,80.65 ms,153.3629210526316 ms,49.949 ms,596.146 ms,114
2025-04-20T19:30:07.966826Z,2025-04-20T19:30:08.039000Z,72.174 ms,152.65693043478265 ms,49.949 ms,596.146 ms,115
2025-04-20T19:30:08.012304Z,2025-04-20T19:30:08.080000Z,67.69600000000001 ms,151.92450862068972 ms,49.949 ms,596.146 ms,116
2025-04-20T19:30:08.057427Z,2025-04-20T19:30:08.113000Z,55.573 ms,151.1009914529915 ms,49.949 ms,596.146 ms,117
2025-04-20T19:30:08.101014Z,2025-04-20T19:30:08.167000Z,65.986 ms,150.37967796610172 ms,49.949 ms,596.146 ms,118
2025-04-20T19:30:08.144846Z,2025-04-20T19:30:08.237000Z,92.154 ms,149.8903865546219 ms,49.949 ms,596.146 ms,119
2025-04-20T19:30:08.189521Z,2025-04-20T19:30:08.280000Z,90.479 ms,149.39529166666668 ms,49.949 ms,596.146 ms,120
2025-04-20T19:30:08.267147Z,2025-04-20T19:30:08.321000Z,53.853 ms,148.60568595041323 ms,49.949 ms,596.146 ms,121
2025-04-20T19:30:08.309442Z,2025-04-20T19:30:08.371000Z,61.558 ms,147.89218032786889 ms,49.949 ms,596.146 ms,122
2025-04-20T19:30:08.350941Z,2025-04-20T19:30:08.412000Z,61.059000000000005 ms,147.18621951219515 ms,49.949 ms,596.146 ms,123
2025-04-20T19:30:08.395567Z,2025-04-20T19:30:08.454000Z,58.433 ms,146.47046774193552 ms,49.949 ms,596.146 ms,124
2025-04-20T19:30:08.436725Z,2025-04-20T19:30:08.487000Z,50.275 ms,145.70090400000004 ms,49.949 ms,596.146 ms,125
2025-04-20T19:30:08.474687Z,2025-04-20T19:30:08.527000Z,52.312999999999995 ms,144.9597301587302 ms,49.949 ms,596.146 ms,126
2025-04-20T19:30:08.514943Z,2025-04-20T19:30:08.570000Z,55.057 ms,144.25183464566933 ms,49.949 ms,596.146 ms,127
2025-04-20T19:30:08.555514Z,2025-04-20T19:30:08.609000Z,53.486 ms,143.54272656250006 ms,49.949 ms,596.146 ms,128
2025-04-20T19:30:08.598259Z,2025-04-20T19:30:08.647000Z,48.741 ms,142.8078294573644 ms,48.741 ms,596.146 ms,129
2025-04-20T19:30:08.635920Z,2025-04-20T19:30:08.700000Z,64.08 ms,142.20223076923082 ms,48.741 ms,596.146 ms,130
2025-04-20T19:30:08.688690Z,2025-04-20T19:30:08.737000Z,48.31 ms,141.48549618320615 ms,48.31 ms,596.146 ms,131
2025-04-20T19:30:08.726415Z,2025-04-20T19:30:08.780000Z,53.585 ms,140.8195833333334 ms,48.31 ms,596.146 ms,132
2025-04-20T19:30:08.764199Z,2025-04-20T19:30:08.814000Z,49.800999999999995 ms,140.13523308270683 ms,48.31 ms,596.146 ms,133
2025-04-20T19:30:08.802666Z,2025-04-20T19:30:08.852000Z,49.334 ms,139.4576119402986 ms,48.31 ms,596.146 ms,134
2025-04-20T19:30:08.840847Z,2025-04-20T19:30:08.893000Z,52.153 ms,138.81091111111118 ms,48.31 ms,596.146 ms,135
2025-04-20T19:30:08.882099Z,2025-04-20T19:30:08.930000Z,47.900999999999996 ms,138.14245588235303 ms,47.900999999999996 ms,596.146 ms,136
2025-04-20T19:30:08.919564Z,2025-04-20T19:30:08.965000Z,45.436 ms,137.46576642335773 ms,45.436 ms,596.146 ms,137
2025-04-20T19:30:08.955276Z,2025-04-20T19:30:09.006000Z,50.724 ms,136.83720289855077 ms,45.436 ms,596.146 ms,138
2025-04-20T19:30:08.990838Z,2025-04-20T19:30:09.043000Z,52.162 ms,136.22802877697848 ms,45.436 ms,596.146 ms,139
2025-04-20T19:30:09.028715Z,2025-04-20T19:30:09.105000Z,76.28500000000001 ms,135.79986428571434 ms,45.436 ms,596.146 ms,140
2025-04-20T19:30:09.094334Z,2025-04-20T19:30:09.141000Z,46.666 ms,135.16770921985818 ms,45.436 ms,596.146 ms,141
