current_time,start_time,throughput_records,throughput_bytes,throughput_interval
2025-04-07 13:49:42.538631+00:00,2025-04-07 13:49:43.539298+00:00,744.5027972034696,1010182.3678828292,1.0006678320060018
2025-04-07 13:49:43.539298+00:00,2025-04-07 13:49:44.540565+00:00,824.9553582062719,1119356.5576734578,1.0012663009983953
2025-04-07 13:49:44.540565+00:00,2025-04-07 13:49:45.540988+00:00,901.6182223909913,1223387.9734963067,1.0004234359948896
2025-04-07 13:49:45.540988+00:00,2025-04-07 13:49:46.541147+00:00,935.8520221475943,1269843.211128653,1.0001581209944561
2025-04-07 13:49:46.541147+00:00,2025-04-07 13:49:47.542052+00:00,911.1743229701241,1236355.6540480014,1.0009061680175364
2025-04-07 13:49:47.542052+00:00,2025-04-07 13:49:48.542117+00:00,1011.9340006671532,1373099.4451009163,1.0000652209855616
2025-04-07 13:49:48.542117+00:00,2025-04-07 13:49:49.542944+00:00,986.1848521414057,1338144.9335513979,1.000826567003969
2025-04-07 13:49:49.542944+00:00,2025-04-07 13:49:50.543733+00:00,908.2828471024534,1232431.908724314,1.0007895700109657
2025-04-07 13:49:50.543733+00:00,2025-04-07 13:49:51.544224+00:00,1035.4916564287817,1405091.2126120743,1.000490920006996
2025-04-07 13:49:51.544224+00:00,2025-04-07 13:49:52.544708+00:00,968.5315939210882,1314189.425157167,1.0004836249863729
2025-04-07 13:49:52.544708+00:00,2025-04-07 13:49:53.545418+00:00,1094.2225679895414,1484848.0332816103,1.000710488006007
2025-04-07 13:49:53.545418+00:00,2025-04-07 13:49:54.545974+00:00,1104.4044774931,1498674.8770360057,1.000539225002285
2025-04-07 13:49:54.545974+00:00,2025-04-07 13:49:55.546810+00:00,1113.0508069832506,1510416.9391118623,1.0008527849859092
2025-04-07 13:49:55.546810+00:00,2025-04-07 13:49:56.547201+00:00,1115.5634510162079,1513828.5995084376,1.0003913260006811
2025-04-07 13:49:56.547201+00:00,2025-04-07 13:49:57.547856+00:00,1118.2681382138362,1517501.8557077919,1.0006544600182679
2025-04-07 13:49:57.547856+00:00,2025-04-07 13:49:58.548431+00:00,1083.376539548496,1470118.9773957138,1.0005754790036008
2025-04-07 13:49:58.548431+00:00,2025-04-07 13:49:59.548435+00:00,1083.9957637716093,1470959.251527957,1.0000039079750422
2025-04-07 13:49:59.548435+00:00,2025-04-07 13:50:00.548715+00:00,1124.6858246420602,1526216.6590124702,1.0002793449966703
2025-04-07 13:50:00.548715+00:00,2025-04-07 13:50:01.548935+00:00,1116.754556313125,1515445.9307195635,1.0002197830181103
2025-04-07 13:50:01.548935+00:00,2025-04-07 13:50:02.549264+00:00,1129.6493782948162,1532957.1992095176,1.0003103810013272
2025-04-07 13:50:02.549264+00:00,2025-04-07 13:50:03.549284+00:00,1070.958203730057,1453254.283866604,1.0000390269851778
2025-04-07 13:50:03.549284+00:00,2025-04-07 13:50:04.549770+00:00,1135.4484547535974,1540832.5390206913,1.0004857510211878
2025-04-07 13:50:04.549770+00:00,2025-04-07 13:50:05.550232+00:00,1126.4795596938695,1528652.7532687283,1.0004620059917215
2025-04-07 13:50:05.550232+00:00,2025-04-07 13:50:06.550666+00:00,1123.5118812820103,1524622.6155171094,1.0004344579938333
2025-04-07 13:50:06.550666+00:00,2025-04-07 13:50:07.550817+00:00,1140.8279357733786,1548137.5037172323,1.0001508239947725
2025-04-07 13:50:07.550817+00:00,2025-04-07 13:50:08.550924+00:00,1152.876856614593,1564499.8895130835,1.000106813997263
2025-04-07 13:50:08.550924+00:00,2025-04-07 13:50:09.551186+00:00,1134.702871233395,1539819.7889336678,1.0002618560101837
2025-04-07 13:50:09.551186+00:00,2025-04-07 13:50:10.551222+00:00,1112.9596140288547,1510292.1960194418,1.0000362870050594
2025-04-07 13:50:10.551222+00:00,2025-04-07 13:50:11.551774+00:00,1144.3685077033572,1552946.0439956328,1.0005518260004465
2025-04-07 13:50:11.551774+00:00,2025-04-07 13:50:12.552173+00:00,1125.5510323240064,1527391.7432878457,1.0003988870012108
2025-04-07 13:50:12.552173+00:00,2025-04-07 13:50:13.553008+00:00,1150.039343400611,1560647.3522710057,1.0008353249868378
2025-04-07 13:50:13.553008+00:00,2025-04-07 13:50:14.553945+00:00,1069.9977277699388,1451950.9502736297,1.0009367050079163
2025-04-07 13:50:14.553945+00:00,2025-04-07 13:50:15.553959+00:00,1085.9836396709602,1473658.799349853,1.0000150649866555
2025-04-07 13:50:15.553959+00:00,2025-04-07 13:50:16.554057+00:00,1120.890147133687,1521061.9282884772,1.0000980050244834
2025-04-07 13:50:16.554057+00:00,2025-04-07 13:50:17.554630+00:00,1126.3555219007374,1528484.4317822447,1.000572179997107
2025-04-07 13:50:17.554630+00:00,2025-04-07 13:50:18.554746+00:00,1132.8684422765225,1537328.4731502642,1.0001161279797088
2025-04-07 13:50:18.554746+00:00,2025-04-07 13:50:19.555036+00:00,1132.6712648144135,1537060.8988093685,1.000290230003884
2025-04-07 13:50:19.555036+00:00,2025-04-07 13:50:20.555669+00:00,1115.29405678711,1513463.029367018,1.0006329659954645
2025-04-07 13:50:20.555669+00:00,2025-04-07 13:50:21.555926+00:00,1135.7085499125258,1541185.4947911105,1.0002566240145825
2025-04-07 13:50:21.555926+00:00,2025-04-07 13:50:22.556399+00:00,1115.4715598618277,1513703.9024708862,1.000473736989079
2025-04-07 13:50:22.556399+00:00,2025-04-07 13:50:23.556713+00:00,1118.6495695777191,1518019.462158998,1.000313262018608
